row_label_raw,row_label_full,col_0,VND Căn hộ,numeric__VND Căn hộ
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,68.934.690.108,68934690108.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,23.860.238.541,23860238541.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(5.765.287.119),-5765287119.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,87.029.641.530,87029641530.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(5.967.364.183),-5967364183.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(2.196.427.042),-2196427042.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,1.556.623.631,1556623631.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(6.607.167.594),-6607167594.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,62.967.325.925,62967325925.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,80.422.473.936,80422473936.0
