row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Việt Nam Thịnh Vượng > Khoản vay 1 > Khoản vay 2 > Khoản vay 3,Số cuối năm(VND) > Ngân hàng TMCP Việt Nam Thịnh Vượng > 945.961.673.389 > 99.145.710.271 > 28.501.021.524,Kỳ hạn trả gốc > Ngân hàng TMCP Việt Nam Thịnh Vượng > Từ ngày 15 tháng 7 năm 2026đến ngày 10 tháng 10 năm 2029 > Ngày 25 tháng 10 năm 2026 > Từ ngày 30 tháng 9 năm 2026đến ngày 12 tháng 6 năm 2028,Mục đích vay > Ngân hàng TMCP Việt Nam Thịnh Vượng > Tài trợ các dự ánđang triển khai > Mua tài sản,"Hình thức đảm bảo > Ngân hàng TMCP Việt Nam Thịnh Vượng > Quyền sử dụng đất của 225 lô đất nền thuộc dự ánRegal Legend, 19 lô đất nền thuộc dự án La MaisonPremium và 4 lô đất thuộc dự án Regal Victoria > Quyền sử dụng đất của 19 lô đất nền thuộcKhu nhà ở phía Đông đường Hùng Vương thuộcdự án La Maison Premium > Quyền sử dụng đất và tài sản gắn liền với đất",numeric__Số cuối năm(VND) > Ngân hàng TMCP Việt Nam Thịnh Vượng > 945.961.673.389 > 99.145.710.271 > 28.501.021.524,numeric__Kỳ hạn trả gốc > Ngân hàng TMCP Việt Nam Thịnh Vượng > Từ ngày 15 tháng 7 năm 2026đến ngày 10 tháng 10 năm 2029 > Ngày 25 tháng 10 năm 2026 > Từ ngày 30 tháng 9 năm 2026đến ngày 12 tháng 6 năm 2028,numeric__Mục đích vay > Ngân hàng TMCP Việt Nam Thịnh Vượng > Tài trợ các dự ánđang triển khai > Mua tài sản,"numeric__Hình thức đảm bảo > Ngân hàng TMCP Việt Nam Thịnh Vượng > Quyền sử dụng đất của 225 lô đất nền thuộc dự ánRegal Legend, 19 lô đất nền thuộc dự án La MaisonPremium và 4 lô đất thuộc dự án Regal Victoria > Quyền sử dụng đất của 19 lô đất nền thuộcKhu nhà ở phía Đông đường Hùng Vương thuộcdự án La Maison Premium > Quyền sử dụng đất và tài sản gắn liền với đất"
,,,1.073.608.405.184,,,,1073608405184.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,335.740.044.955,,,,335740044955.0,,,
Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,Ngân hàng TMCP Quân Đội,,,,
Khoản vay 1,Ngân hàng TMCP Quân Đội > Khoản vay 1,Khoản vay 1,130.500.000.000,Từ ngày 25 tháng 6 năm 2026đến ngày 25 tháng 4 năm 2030,Bổ sung vốn lưu động,Quyền sử dụng đất và quyền sử dụng tài sảngắn liền với đất của 20 lô đất thuộc dự án Khu đỏ thịĐất Quảng Riverside,130500000000.0,,,
Khoản vay 2,Ngân hàng TMCP Quân Đội > Khoản vay 2,Khoản vay 2,114.050.491.483,Từ ngày 25 tháng 1 năm 2026đến ngày 25 tháng 4 năm 2030,Tài trợ các dự ánđang triển khai,Quyền phát sinh từ dự án vàgiấy chứng nhận góp vốn của Lê Gia Newland,114050491483.0,,,
,,,244.550.491.483,,,,244550491483.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Quân Đội > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,68.715.147.446,,,,68715147446.0,,,
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,,,,
Khoản vay 1,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 1,Khoản vay 1,170.116.278.412,Từ ngày 28 tháng 4 năm 2026đến ngày 22 tháng 12 năm 2026,Tài trợ các dự ánđang triển khai,Giấy chứng nhận quyền sử dụng đất và tài sản hìnhthành trong tương lại của dự án Cara River Park,170116278412.0,,,
Khoản vay 2,Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 2,Khoản vay 2,115.500.000.000,Từ ngày 31 tháng 10 năm 2026đến ngày 23 tháng 7 năm 2029,Tài trợ các dự ánđang triển khai,Giấy chứng nhận quyền sử dụng đất và tài sản hìnhthành trong tương lại của dự án Cara River Park,115500000000.0,,,
,,,285.616.278.412,,,,285616278412.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Hàng hải Việt Nam > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,195.782.945.078,,,,195782945078.0,,,
