row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.791.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,186.039.773.235,2.304.140.881.906,8.316.412.827.479,5791031240000.0,4503548710.0,24503464043.0,6193919585.0,186039773235.0,2304140881906.0,8316412827479.0
Góp vốn tử cổ đông,Góp vốn tử cổ đông,Góp vốn tử cổ đông,,,,,,,,,,,,,,
không kiểm soát,Góp vốn tử cổ đông > không kiểm soát,không kiểm soát,-,-,-,-,-,138.526.015.000,138.526.015.000,,,,,,138526015000.0,138526015000.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,,,,,,,,
trong năm,Lợi nhuận thuần > trong năm,trong năm,-,-,-,-,351.512.195.294,171.930.157.188,523.442.352.482,,,,,351512195294.0,171930157188.0,523442352482.0
Cổ tức trả cho cổ đông,Cổ tức trả cho cổ đông,Cổ tức trả cho cổ đông,,,,,,,,,,,,,,
không kiểm soát,Cổ tức trả cho cổ đông > không kiểm soát,không kiểm soát,-,-,-,-,-,(99.570.200.000),(99.570.200.000),,,,,,-99570200000.0,-99570200000.0
Trích quỹ khen,Trích quỹ khen,Trích quỹ khen,,,,,,,,,,,,,,
"thường, phúc lợi","Trích quỹ khen > thường, phúc lợi","thường, phúc lợi",-,-,-,-,(14.484.458.720),(7.680.023.763),(22.164.482.483),,,,,-14484458720.0,-7680023763.0,-22164482483.0
Thay đổi lệ sở hữu tại các công ty con,Trích quỹ khen > Thay đổi lệ sở hữu tại các công ty con,Thay đổi lệ sở hữu tại các công ty con,-,-,-,-,(2.836.824.027),(19.640.822.951),(22.477.646.978),,,,,-2836824027.0,-19640822951.0,-22477646978.0
Giảm khác,Trích quỹ khen > Giảm khác,Giảm khác,-,-,-,-,(1.756.352.959),-,(1.756.352.959),,,,,-1756352959.0,,-1756352959.0
Số cuối năm,Trích quỹ khen > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,518.474.332.823,2.487.706.007.380,8.832.412.512.541,5791031240000.0,4503548710.0,24503464043.0,6193919585.0,518474332823.0,2487706007380.0,8832412512541.0
