row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm,Tài sản khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,34.785.555.399,69.318.223.463,265.000.000,104.368.778.862,34785555399.0,69318223463.0,265000000.0,104368778862.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,35.200.000,-,35.200.000,,35200000.0,,35200000.0
Giảm do giải thể công ty con,Nguyên giá: > Giảm do giải thể công ty con,Giảm do giải thể công ty con,-,(330.000.000),-,(330.000.000),,-330000000.0,,-330000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,34.785.555.399,69.023.423.463,265.000.000,104.073.978.862,34785555399.0,69023423463.0,265000000.0,104073978862.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(39.133.179.852),(113.706.251),(39.246.886.103),,-39133179852.0,-113706251.0,-39246886103.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(4.455.751.585),(10.999.998),(4.466.751.583),,-4455751585.0,-10999998.0,-4466751583.0
Giảm do giải thể công ty con,Giá trị hao mòn lũy kế: > Giảm do giải thể công ty con,Giảm do giải thể công ty con,-,270.416.665,-,270.416.665,,270416665.0,,270416665.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(43.318.514.772),(124.706.249),(43.443.221.021),,-43318514772.0,-124706249.0,-43443221021.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,34.785.555.399,30.185.043.611,151.293.749,65.121.892.759,34785555399.0,30185043611.0,151293749.0,65121892759.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,34.785.555.399,25.704.908.691,140.293.751,60.630.757.841,34785555399.0,25704908691.0,140293751.0,60630757841.0
