row_label_raw,row_label_full,Hàng hóa,- chi phí mua theo phương pháp tính theo giá đích danh,numeric__- chi phí mua theo phương pháp tính theo giá đích danh
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,- chi phí mua theo phương pháp bình quân gia quyền,
Chi phí các công trình xây dựng dở dang,Chi phí các công trình xây dựng dở dang,Chi phí các công trình xây dựng dở dang,- giá vốn nguyên vật liệu và lao động trực tiếp cộng chi phí sản xuất chung có liên quan theo phương pháp bình quân gia quyền,
