row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.539.509.270.000,628.592.500,(79.164.500),16.158.114.661,1.556.216.812.661,1539509270000.0,628592500.0,-79164500.0,16158114661.0,1556216812661.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.824.746.062.526,1.824.746.062.526,,,,1824746062526.0,1824746062526.0
Cổ tức công bố,Năm trước: > Cổ tức công bố,Cổ tức công bố,-,-,-,(230.721.660.300),(230.721.660.300),,,,-230721660300.0,-230721660300.0
Cổ phiếu thường,Năm trước: > Cổ phiếu thường,Cổ phiếu thường,1.538.148.620.000,-,-,(1.538.148.620.000),-,1538148620000.0,,,-1538148620000.0,
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,92.226.480.000,-,-,-,92.226.480.000,92226480000.0,,,,92226480000.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,3.169.884.370.000,628.592.500,(79.164.500),72.033.896.887,3.242.467.694.887,3169884370000.0,628592500.0,-79164500.0,72033896887.0,3242467694887.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,3.169.884.370.000,628.592.500,(79.164.500),72.033.896.887,3.242.467.694.887,3169884370000.0,628592500.0,-79164500.0,72033896887.0,3242467694887.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.810.029.532.423,2.810.029.532.423,,,,2810029532423.0,2810029532423.0
Cổ phiếu phát hành (*),Năm nay: > Cổ phiếu phát hành (*),Cổ phiếu phát hành (*),61.810.840.000,514.734.297.200,-,-,576.545.137.200,61810840000.0,514734297200.0,,,576545137200.0
Chia cổ tức bằng tiền,Năm nay: > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(484.310.571.750),(484.310.571.750),,,,-484310571750.0,-484310571750.0
Chia cổ tức bằng cổ phiếu (**),Năm nay: > Chia cổ tức bằng cổ phiếu (**),Chia cổ tức bằng cổ phiếu (**),1.075.971.460.000,-,-,(1.075.971.460.000),-,1075971460000.0,,,-1075971460000.0,
Phát hành cổ phiếu ESOP (***),Năm nay: > Phát hành cổ phiếu ESOP (***),Phát hành cổ phiếu ESOP (***),127.295.110.000,-,-,-,127.295.110.000,127295110000.0,,,,127295110000.0
Cổ phiếu quỹ,Năm nay: > Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,(729.700.000),-,(729.700.000),,,-729700000.0,,-729700000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,4.434.961.780.000,515.362.889.700,(808.864.500),1.321.781.397.560,6.271.297.202.760,4434961780000.0,515362889700.0,-808864500.0,1321781397560.0,6271297202760.0
