row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tình trạng,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tình trạng,% sở hữu,Giá gốc đầu tư (VND),Dự phòng (VND),% sở hữu,Giá gốc đầu tư (VND),Dự phòng (VND),,,,,,,,
Công ty Cổ phần Bán lẻ An Khang,Tên công ty > Công ty Cổ phần Bán lẻ An Khang,Công ty Cổ phần Bán lẻ An Khang,Bán lẻ dược phẩm,Đang hoạt động,"49,00",62.038.750.000,-,-,-,-,,,49.0,62038750000.0,,,,
