row_label_raw,row_label_full,Ông Trần Huy Thanh Tùng,Trưởng ban,col_2,numeric__Trưởng ban,numeric__col_2
Ông Hoàng Hữu Hưng,Ông Hoàng Hữu Hưng,Ông Hoàng Hữu Hưng,Thành viên,,,
Bà Đỗ Thi Loan,Bà Đỗ Thi Loan,Bà Đỗ Thi Loan,Thành viên,bổ nhiệm ngày 16 tháng 3 năm 2018,,
Bà Nguyễn Khánh Vân,Bà Nguyễn Khánh Vân,Bà Nguyễn Khánh Vân,Thành viên,từ nhiệm ngày 12 tháng 3 năm 2018,,
