row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 14),Số cuối năm > 15.766.964.724,VND Số đầu năm > 8.375.455.386,numeric__Số cuối năm > 15.766.964.724,numeric__VND Số đầu năm > 8.375.455.386
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",4.003.604.375,8.007.208.750,4003604375.0,8007208750.0
Khác,Khác,Khác,2.822.860.442,5.309.015.633,2822860442.0,5309015633.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,22.593.429.541,21.691.679.769,22593429541.0,21691679769.0
