row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,VND > Số cuối năm,VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__VND > Số cuối năm,numeric__VND > Số đầu năm
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,,,,
Công ty Cổ phần Thế Giới Di Đông,Phải thu cho vay ngắn hạn > Công ty Cổ phần Thế Giới Di Đông,Công ty Cổ phần Thế Giới Di Đông,Công ty con,Cho vay,66.600.000.000,2.165.234.807.920,,,66600000000.0,2165234807920.0
Công ty Cổ phần Thương mại Bách Hóa Xanh,Phải thu cho vay ngắn hạn > Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty Cổ phần Thương mại Bách Hóa Xanh,Công ty con,Cho vay,-,100.950.000.000,,,,100950000000.0
,,,,,66.600.000.000,2.266.184.807.920,,,66600000000.0,2266184807920.0
Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,Phải thu cho vay dài hạn,,,,
Công ty Cổ phần Thế Giới Di Đông,Phải thu cho vay dài hạn > Công ty Cổ phần Thế Giới Di Đông,Công ty Cổ phần Thế Giới Di Đông,Công ty con,Cho vay,1.061.720.000.000,-,,,1061720000000.0,
