row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1 - 5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiễn,Tiền và các khoản tương đương tiễn,Tiền và các khoản tương đương tiễn,3.480.659.514.788,-,3.480.659.514.788,3480659514788.0,,3480659514788.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,5.033.435.124.831,231.657.122.488,5.265.092.247.319,5033435124831.0,231657122488.0,5265092247319.0
Dầu tư nằm giữ đến ngày đáo hạn,Dầu tư nằm giữ đến ngày đáo hạn,Dầu tư nằm giữ đến ngày đáo hạn,4.379.446.212.073,-,4.379.446.212.073,4379446212073.0,,4379446212073.0
Dầu tư góp vốn vào đơn vị khác,Dầu tư góp vốn vào đơn vị khác,Dầu tư góp vốn vào đơn vị khác,-,449.664.569.045,449.664.569.045,,449664569045.0,449664569045.0
Tổng cộng,Tổng cộng,Tổng cộng,12.893.540.851.692,681.321.691.533,13.574.862.543.225,12893540851692.0,681321691533.0,13574862543225.0
Số cuối năm,Số cuối năm,Số cuối năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Các khoản vay và nợ thuê tài chính,Số cuối năm > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,4.116.988.708.324,565.209.817.637,4.682.198.525.961,4116988708324.0,565209817637.0,4682198525961.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,2.821.874.588.734,-,2.821.874.588.734,2821874588734.0,,2821874588734.0
Chỉ phí phải trả,Số cuối năm > Chỉ phí phải trả,Chỉ phí phải trả,918.418.793.263,-,918.418.793.263,918418793263.0,,918418793263.0
Tổng cộng,Số cuối năm > Tổng cộng,Tổng cộng,7.857.282.090.321,565.209.817.637,8.422.491.907.958,7857282090321.0,565209817637.0,8422491907958.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,5.036.258.761.371,116.111.873.896,5.152.370.635.267,5036258761371.0,116111873896.0,5152370635267.0
