row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm ngắn hạn,Dự phòng bảo hành sản phẩm dài hạn,Bảo lãnh cho các khoản cho sinh viên vay dài hạn,Tổng công,numeric__Dự phòng bảo hành sản phẩm ngắn hạn,numeric__Dự phòng bảo hành sản phẩm dài hạn,numeric__Bảo lãnh cho các khoản cho sinh viên vay dài hạn,numeric__Tổng công
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,7.733.835.968,5.597.632.467,12.905.000,13.344.373.435,7733835968.0,5597632467.0,12905000.0,13344373435.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,21.521.461.241,7.894.100.968,-,29.415.562.209,21521461241.0,7894100968.0,,29415562209.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(1.225.360.054),(2.547.505.723),-,(3.772.865.777),-1225360054.0,-2547505723.0,,-3772865777.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(7.481.314.483),(7.188.403.996),-,(14.669.718.479),-7481314483.0,-7188403996.0,,-14669718479.0
Giảm do thời vốn,Giảm do thời vốn,Giảm do thời vốn,(14.497.196.625),(390.221.418),-,(14.887.420.043),-14497196625.0,-390221418.0,,-14887420043.0
Số cuối năm,Số cuối năm,Số cuối năm,6.051.424.047,3.365.602.298,12.905.000,9.429.931.345,6051424047.0,3365602298.0,12905000.0,9429931345.0
