row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng côngVND,numeric__Nhà cửa vàvật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng côngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.139.385.346.611,5.836.176.211.536,91.407.669.190,828.787.242.675,36.270.828.665,7.932.027.298.677,1139385346611.0,5836176211536.0,91407669190.0,828787242675.0,36270828665.0,7932027298677.0
Mua sắm môi,NGUYÊN GIÁ > Mua sắm môi,Mua sắm môi,45.330.774.815,875.630.180.679,8.696.491.595,75.554.819.333,729.437.600,1.005.941.704.022,45330774815.0,875630180679.0,8696491595.0,75554819333.0,729437600.0,1005941704022.0
Đầu tư xây dựng cơ bảnhoản thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoản thành,Đầu tư xây dựng cơ bảnhoản thành,506.130.204.081,24.208.964.966,-,-,-,530.339.169.047,506130204081.0,24208964966.0,,,,530339169047.0
"Thanh lị, nhượng bán","NGUYÊN GIÁ > Thanh lị, nhượng bán","Thanh lị, nhượng bán",(12.852.462.819),(80.128.197.873),(9.731.586.402),(22.546.664.528),(368.772.632),(125.627.684.254),-12852462819.0,-80128197873.0,-9731586402.0,-22546664528.0,-368772632.0,-125627684254.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(7.298.527.397),244.406.709.237,(31.158.287.024),(180.114.161.193),(25.835.733.623),-,-7298527397.0,244406709237.0,-31158287024.0,-180114161193.0,-25835733623.0,
(Giám) do thoái vốn,NGUYÊN GIÁ > (Giám) do thoái vốn,(Giám) do thoái vốn,(44.913.723.333),(9.920.033.472),(3.396.015.426),(24.651.886.336),(22.004.052),(82.903.662.619),-44913723333.0,-9920033472.0,-3396015426.0,-24651886336.0,-22004052.0,-82903662619.0
Tăng/(Giảm) khác (*),NGUYÊN GIÁ > Tăng/(Giảm) khác (*),Tăng/(Giảm) khác (*),(637.021.000),(994.292.099.114),(706.526.214),(3.983.070.873),15.479.472,(999.603.237.729),-637021000.0,-994292099114.0,-706526214.0,-3983070873.0,15479472.0,-999603237729.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.625.144.590.958,5.896.081.735.959,55.111.745.719,673.046.279.078,10.789.235.430,8.260.173.587.144,1625144590958.0,5896081735959.0,55111745719.0,673046279078.0,10789235430.0,8260173587144.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,232.116.078.934,2.863.709.348.252,39.809.383.118,646.051.067.932,19.042.832.015,3.800.728.710.251,232116078934.0,2863709348252.0,39809383118.0,646051067932.0,19042832015.0,3800728710251.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,59.776.774.625,813.079.867.156,6.077.395.733,46.842.294.437,1.007.268.768,926.783.600.719,59776774625.0,813079867156.0,6077395733.0,46842294437.0,1007268768.0,926783600719.0
"Thanh lị, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lị, nhượng bán","Thanh lị, nhượng bán",(1.848.979.486),(30.414.485.879),(5.772.515.430),(19.516.462.008),(267.072.632),(57.819.515.435),-1848979486.0,-30414485879.0,-5772515430.0,-19516462008.0,-267072632.0,-57819515435.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(2.920.422.076),167.463.652.370,(7.723.433.162),(145.734.501.103),(11.085.296.029),-,-2920422076.0,167463652370.0,-7723433162.0,-145734501103.0,-11085296029.0,
(Giám) do thoái vốn,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giám) do thoái vốn,(Giám) do thoái vốn,(7.843.333),(7.573.768.164),(2.548.035.739),(17.812.489.103),(10.211.946),(27.952.348.285),-7843333.0,-7573768164.0,-2548035739.0,-17812489103.0,-10211946.0,-27952348285.0
(Giảm) khác (*),GIÁ TRỊ HAO MÒN LỦY KẾ > (Giảm) khác (*),(Giảm) khác (*),(584.365.319),(963.288.447.221),(706.526.214),(463.803.184),(2.016.777.481),(967.059.919.419),-584365319.0,-963288447221.0,-706526214.0,-463803184.0,-2016777481.0,-967059919419.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,286.531.243.345,2.842.976.166.514,29.136.268.306,509.366.106.971,6.670.742.695,3.674.680.527.831,286531243345.0,2842976166514.0,29136268306.0,509366106971.0,6670742695.0,3674680527831.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,907.269.267.677,2.972.466.863.284,51.598.286.072,182.736.174.743,17.227.996.650,4.131.298.588.426,907269267677.0,2972466863284.0,51598286072.0,182736174743.0,17227996650.0,4131298588426.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,1.338.613.347.613,3.053.105.569.445,25.975.477.413,163.680.172.107,4.118.492.735,4.585.493.059.313,1338613347613.0,3053105569445.0,25975477413.0,163680172107.0,4118492735.0,4585493059313.0
