row_label_raw,row_label_full,TÀI SẢN,M8 số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__M8 số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,8.939.739.075.221,7.924.598.856.728,200.0,,8939739075221.0,7924598856728.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,231.657.122.488,380.965.916.003,210.0,,231657122488.0,380965916003.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,,161.551.680.000,242.327.520.000,211.0,,161551680000.0,242327520000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,8,124.834.616.306,192.339.224.231,216.0,8.0,124834616306.0,192339224231.0
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,,(54.729.173.818),(53.700.828.228),219.0,,-54729173818.0,-53700828228.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,5.247.285.021.701,4.589.983.193.268,220.0,,5247285021701.0,4589983193268.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,4.585.493.059.313,4.131.298.588.426,221.0,13.0,4585493059313.0,4131298588426.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,8.260.173.587.144,7.932.027.298.677,222.0,,8260173587144.0,7932027298677.0
- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,223,,(3.674.680.527.831),(3.800.728.710.251),223.0,,-3674680527831.0,-3800728710251.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,224,,3.656.116.414,2.463.716.693,224.0,,3656116414.0,2463716693.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,225,,4.702.426.443,3.446.506.943,225.0,,4702426443.0,3446506943.0
- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,226,,(1.046.310.029),(982.790.250),226.0,,-1046310029.0,-982790250.0
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,14,658.135.845.974,456.220.888.149,227.0,14.0,658135845974.0,456220888149.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,1.117.419.385.566,821.227.956.626,228.0,,1117419385566.0,821227956626.0
- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,- Giá trị hao món lũy kế,229,,(459.283.539.592),(365.007.068.477),229.0,,-459283539592.0,-365007068477.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,805.559.896.217,1.020.980.424.296,240.0,,805559896217.0,1020980424296.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,14.238.138.008,241.0,,,14238138008.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,15,805.559.896.217,1.006.742.286.288,242.0,15.0,805559896217.0,1006742286288.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,1.783.369.007.284,826.327.509.802,250.0,,1783369007284.0,826327509802.0
1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,1. Đầu tư vào công ty liên kết,252,17,1.333.704.438.239,289.799.251.298,252.0,17.0,1333704438239.0,289799251298.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,6,749.259.852.282,756.802.393.141,253.0,6.0,749259852282.0,756802393141.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,6,(299.595.283.237),(221.058.175.167),254.0,6.0,-299595283237.0,-221058175167.0
4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,4. Đầu tư nằm giữ đến ngày đáo hạn,255,,-,784.040.530,255.0,,,784040530.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,871.868.027.531,1.106.341.813.359,260.0,,871868027531.0,1106341813359.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,811.433.621.590,1.017.386.186.501,261.0,11.0,811433621590.0,1017386186501.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,18,60.434.405.941,88.955.626.858,262.0,18.0,60434405941.0,88955626858.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,24.999.676.895.866,29.833.261.814.151,270.0,,24999676895866.0,29833261814151.0
