row_label_raw,row_label_full,Chi tiêu,Số đầu năm,Số phải nộp,Số đã nộp và được khấu trừ,Điều chính do thoái vốn,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp,numeric__Số đã nộp và được khấu trừ,numeric__Điều chính do thoái vốn,numeric__Số cuối năm
Chi tiêu,Chi tiêu,Chi tiêu,VND,VND,VND,VND,VND,,,,,
Thuế giá trị gia tăng,Chi tiêu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,133.461.681.979,5.353.622.913.908,5.300.771.706.330,(52.077.807.673),134.235.081.884,133461681979.0,5353622913908.0,5300771706330.0,-52077807673.0,134235081884.0
- Thuế giá trị gia tăng đầu ra,Chi tiêu > - Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,132.755.827.690,4.437.249.751.589,4.384.071.162.935,(52.399.863.673),133.534.552.671,132755827690.0,4437249751589.0,4384071162935.0,-52399863673.0,133534552671.0
- Thuế giá trị gia tăng hàng nhập khẩu,Chi tiêu > - Thuế giá trị gia tăng hàng nhập khẩu,- Thuế giá trị gia tăng hàng nhập khẩu,705.854.289,916.373.162.319,916.700.543.395,322.056.000,700.529.213,705854289.0,916373162319.0,916700543395.0,322056000.0,700529213.0
Thuế nhập khẩu,Chi tiêu > Thuế nhập khẩu,Thuế nhập khẩu,48.030.880,13.531.467.768,13.531.870.059,-,47.628.589,48030880.0,13531467768.0,13531870059.0,,47628589.0
Thuế thu nhập doanh nghiệp,Chi tiêu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,46.727.349.284,685.569.033.431,644.183.201.955,(53.027.439.059),35.085.741.701,46727349284.0,685569033431.0,644183201955.0,-53027439059.0,35085741701.0
Thuế thu nhập cá nhân,Chi tiêu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,26.450.813.715,334.903.425.448,333.316.011.200,(718.040.121),27.320.187.842,26450813715.0,334903425448.0,333316011200.0,-718040121.0,27320187842.0
Thuế nhà thâu,Chi tiêu > Thuế nhà thâu,Thuế nhà thâu,8.004.356.857,58.266.891.716,59.363.093.205,(676.006.930),6.232.148.438,8004356857.0,58266891716.0,59363093205.0,-676006930.0,6232148438.0
Các loại thuế và phí khác,Chi tiêu > Các loại thuế và phí khác,Các loại thuế và phí khác,4.612.515.695,3.238.864.677,2.094.414.272,-,5.756.966.100,4612515695.0,3238864677.0,2094414272.0,,5756966100.0
Cộng,Chi tiêu > Cộng,Cộng,219.304.748.410,6.449.132.596.948,6.353.260.297.021,(106.499.293.783),208.677.754.554,219304748410.0,6449132596948.0,6353260297021.0,-106499293783.0,208677754554.0
