row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phân sở hữu và biểu quyết nấm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phân sở hữu và biểu quyết nấm giữ,numeric__Hoạt động chính
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,"Số 261 - 263 Khánh Hội, phường 5, quận 4, thành phố Hồ Chí Minh",47%,"Bán lẻ máy vi tỉnh, thiết bị ngoại vi, phần mềm và thiết bị viễn thông; đại lý dịch vụ viễn thông",,0.47,
Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,Công ty Cổ phần Synnex FPT,"Tòa nhà FPT Câu Giấy, Phạm Hùng, Câu Giấy, Hà Nội",48%,"Sân xuất các sản phẩm công nghệ và phân phối các linh kiện CNTT và điện thoại di động, chế tạo máy tỉnh",,0.48,
Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,Công ty Cổ phần Chứng khoán FPT,"Số 52 đường Lạc Long Quân, phường Bười, quận Tây Hồ, thành phố Hà Nội",20%,"Các hoạt động môi giới chứng khoán, tự doanh chứng khoán, tự văn đầu tư chứng khoán và dịch vụ lưu ký chứng khoán",,0.2,
Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,Công ty Cổ phần Quản lý Quỹ Đầu tư FPT,"Tăng 9, Tòa nhà TTC Lỗ B1A phường Dịch Vọng Hầu, Phạm Hùng, Câu Giấy, Hà Nội",25%,"Quán lý quỹ đầu tư, quản lý danh mục đầu tư và các dịch vụ khác",,0.25,
