row_label_raw,row_label_full,Bên liên quan,Mõi quan hệ,numeric__Mõi quan hệ
Công ty Cố phần Bán lẻ Kỹ thuật sõ FPT,Công ty Cố phần Bán lẻ Kỹ thuật sõ FPT,Công ty Cố phần Bán lẻ Kỹ thuật sõ FPT,Công ty liên kết,
Công ty Cố phần Synnex FPT,Công ty Cố phần Synnex FPT,Công ty Cố phần Synnex FPT,Công ty liên kết,
Công ty Cố phần Quản lý Quỹ Đầu tư FPT,Công ty Cố phần Quản lý Quỹ Đầu tư FPT,Công ty Cố phần Quản lý Quỹ Đầu tư FPT,Công ty liên kết,
Công ty Cố phần Chứng khoán FPT,Công ty Cố phần Chứng khoán FPT,Công ty Cố phần Chứng khoán FPT,Công ty liên kết,
