row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,"Phát sinh trong năm > Giảm do th exterior vốn FRT, FTG",Phát sinh trong năm > Giảm khác,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,"numeric__Phát sinh trong năm > Giảm do th exterior vốn FRT, FTG",numeric__Phát sinh trong năm > Giảm khác,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay ngắn hạn các ngân hàng và các tổ chức kinh tế (I),Vay ngắn hạn các ngân hàng và các tổ chức kinh tế (I),Vay ngắn hạn các ngân hàng và các tổ chức kinh tế (I),8.858.678.752.603,8.858.678.752.603,20.876.999.653.752,4.704.175.825.331,21.277.074.128.878,3.754.428.452.146,3.754.428.452.146,8858678752603.0,8858678752603.0,20876999653752.0,4704175825331.0,21277074128878.0,3754428452146.0,3754428452146.0
Vay và nợ dài hạn đến hạn trả (xem Thuyết minh số 24),Vay và nợ dài hạn đến hạn trả (xem Thuyết minh số 24),Vay và nợ dài hạn đến hạn trả (xem Thuyết minh số 24),347.987.482.964,347.987.482.964,660.753.407.360,-,646.180.634.146,362.560.256.178,362.560.256.178,347987482964.0,347987482964.0,660753407360.0,,646180634146.0,362560256178.0,362560256178.0
- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,347.210.189.024,347.210.189.024,659.264.059.662,-,644.810.549.652,361.663.699.034,361.663.699.034,347210189024.0,347210189024.0,659264059662.0,,644810549652.0,361663699034.0,361663699034.0
- Nợ thuê tài chính dài hạn đến hạn trả,- Nợ thuê tài chính dài hạn đến hạn trả,- Nợ thuê tài chính dài hạn đến hạn trả,777.293.940,777.293.940,1.489.347.698,-,1.370.084.494,896.557.144,896.557.144,777293940.0,777293940.0,1489347698.0,,1370084494.0,896557144.0,896557144.0
Cộng,Cộng,Cộng,9.206.666.235.567,9.206.666.235.567,21.537.753.061.112,4.704.175.825.331,21.923.254.763.024,4.116.988.708.324,4.116.988.708.324,9206666235567.0,9206666235567.0,21537753061112.0,4704175825331.0,21923254763024.0,4116988708324.0,4116988708324.0
