row_label_raw,row_label_full,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
573.573,573.573,573.573,46.596,95,620.264,46596.0,95.0,620264.0
3.105.283,3.105.283,3.105.283,512,-,3.105.795,512.0,,3105795.0
11.748.362,11.748.362,11.748.362,115.638,66.570,11.930.570,115638.0,66570.0,11930570.0
(2.547.573),(2.547.573),(2.547.573),(9.917),-,(2.557.490),-9917.0,,-2557490.0
2.861.958,2.861.958,2.861.958,3.566.083,-,6.428.041,3566083.0,,6428041.0
2.939.932,2.939.932,2.939.932,-,-,2.939.932,,,2939932.0
16.416.755,16.416.755,16.416.755,527,20,16.417.302,527.0,20.0,16417302.0
35.098.290,35.098.290,35.098.290,3.719.439,66.685,38.884.414,3719439.0,66685.0,38884414.0
22.126.644,22.126.644,22.126.644,1,-,22.126.645,1.0,,22126645.0
8.643.455,8.643.455,8.643.455,153.258,43.516,8.840.229,153258.0,43516.0,8840229.0
390.003,390.003,390.003,3.566.083,-,3.956.086,3566083.0,,3956086.0
121.018,121.018,121.018,10.628,3.138,134.784,10628.0,3138.0,134784.0
31.281.120,31.281.120,31.281.120,3.729.970,46.654,35.057.744,3729970.0,46654.0,35057744.0
3.817.170,3.817.170,3.817.170,(10.531),20.031,3.826.670,-10531.0,20031.0,3826670.0
