row_label_raw,row_label_full,col_0,31/12/2022Triệu VND,%,31/12/2021Triệu VND,%_1,numeric__31/12/2022Triệu VND,numeric__%,numeric__31/12/2021Triệu VND,numeric__%_1
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,,,,
Công ty Nhà nước,Cho vay các tổ chức kinh tế > Công ty Nhà nước,Công ty Nhà nước,2.270.232,"0,62",5.898.388,"1,70",2270232.0,0.62,5898388.0,1.7
Công ty TNHH,Cho vay các tổ chức kinh tế > Công ty TNHH,Công ty TNHH,106.179.850,"29,09",103.888.435,"29,95",106179850.0,29.09,103888435.0,29.95
Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),Cho vay các tổ chức kinh tế > Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),Công ty cổ phần có hơn 50% vốn Nhà nước(Nhà nước chiếm cổ phần chi phối),10.452.617,"2,86",10.724.311,"3,09",10452617.0,2.86,10724311.0,3.09
Công ty cổ phần khác,Cho vay các tổ chức kinh tế > Công ty cổ phần khác,Công ty cổ phần khác,168.419.246,"46,12",155.295.412,"44,78",168419246.0,46.12,155295412.0,44.78
Công ty hợp danh,Cho vay các tổ chức kinh tế > Công ty hợp danh,Công ty hợp danh,26.855,"0,01",40.558,"0,01",26855.0,0.01,40558.0,0.01
Doanh nghiệp tư nhân,Cho vay các tổ chức kinh tế > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,4.263.578,"1,17",3.652.898,"1,05",4263578.0,1.17,3652898.0,1.05
Doanh nghiệp có vốn đầu tư nước ngoài,Cho vay các tổ chức kinh tế > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,21.536,"0,01",165.646,"0,05",21536.0,0.01,165646.0,0.05
Hợp tác xã và liên hiệp hợp tác xã,Cho vay các tổ chức kinh tế > Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,12.070,"0,01",12.679,"0,01",12070.0,0.01,12679.0,0.01
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,,,,
"Hộ kinh doanh, cá nhân","Cho vay cá nhân > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",73.375.937,"20,10",67.113.156,"19,35",73375937.0,20.1,67113156.0,19.35
Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,,,,
Thành phần kinh tế khác,Cho vay khác > Thành phần kinh tế khác,Thành phần kinh tế khác,25.000,"0,01",50.070,"0,01",25000.0,0.01,50070.0,0.01
,,,365.046.921,"100,00",346.841.553,"100,00",365046921.0,100.0,346841553.0,100.0
