row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,449.447,232.829,220.690,296.783,1.059,1.200.808,449447.0,232829.0,220690.0,296783.0,1059.0,1200808.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.832,915,9.914,21.470,-,37.131,4832.0,915.0,9914.0,21470.0,,37131.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.222),(8.953),(41.822),(4.788),-,(66.785),-11222.0,-8953.0,-41822.0,-4788.0,,-66785.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,2.075,59,-,(2.134),-,-,2075.0,59.0,,-2134.0,,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(798),-,-,(130),-,(928),-798.0,,,-130.0,,-928.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,444.334,224.850,188.782,311.201,1.059,1.170.226,444334.0,224850.0,188782.0,311201.0,1059.0,1170226.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,159.415,208.702,153.562,191.344,28,713.051,159415.0,208702.0,153562.0,191344.0,28.0,713051.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,14.010,2.139,10.789,19.499,42,46.479,14010.0,2139.0,10789.0,19499.0,42.0,46479.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.756),(8.953),(32.477),(4.614),-,(50.800),-4756.0,-8953.0,-32477.0,-4614.0,,-50800.0
Phân loại lại,Hao mòn lũy kế > Phân loại lại,Phân loại lại,236,8,-,(244),-,-,236.0,8.0,,-244.0,,
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,(2.144),-,-,-,-,(2.144),-2144.0,,,,,-2144.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,166.761,201.896,131.874,205.985,70,706.586,166761.0,201896.0,131874.0,205985.0,70.0,706586.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,290.032,24.127,67.128,105.439,1.031,487.757,290032.0,24127.0,67128.0,105439.0,1031.0,487757.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,277.573,22.954,56.908,105.216,989,463.640,277573.0,22954.0,56908.0,105216.0,989.0,463640.0
