row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.347.706,347.876,20.062,4.715.644,4347706.0,347876.0,20062.0,4715644.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,27.747,-,27.747,,27747.0,,27747.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(96),-,(96),,-96.0,,-96.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,(239),-,(239),,-239.0,,-239.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.347.706,375.288,20.062,4.743.056,4347706.0,375288.0,20062.0,4743056.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.437,265.457,14.063,285.957,6437.0,265457.0,14063.0,285957.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,15.411,747,16.316,158.0,15411.0,747.0,16316.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(96),-,(96),,-96.0,,-96.0
Số dư cuối,Hao mòn lũy kế > Số dư cuối,Số dư cuối,6.595,280.772,14.810,302.177,6595.0,280772.0,14810.0,302177.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.341.269,82.419,5.999,4.429.687,4341269.0,82419.0,5999.0,4429687.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.341.111,94.516,5.252,4.440.879,4341111.0,94516.0,5252.0,4440879.0
