row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Triệu VND),Quá hạn > Trên 3tháng,Quá hạn > Dưới3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến3 tháng,Trong hạn > Từ 3 đến12 tháng,Trong hạn > Từ 1 đến5 năm,Trong hạn > Trên 5 năm,Tổng cộng,numeric__Quá hạn > Trên 3tháng,numeric__Quá hạn > Dưới3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến3 tháng,numeric__Trong hạn > Từ 3 đến12 tháng,numeric__Trong hạn > Từ 1 đến5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.822.415,-,-,-,-,1.822.415,,,1822415.0,,,,,1822415.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,13.917.545,-,-,-,-,13.917.545,,,13917545.0,,,,,13917545.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,62.627.768,6.136.306,5.413.409,99.794,-,74.277.277,,,62627768.0,6136306.0,5413409.0,99794.0,,74277277.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,(62.355),(21.558),353.685,-,-,269.772,,,-62355.0,-21558.0,353685.0,,,269772.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,9.478.526,5.857.729,27.164.679,52.172.473,95.202.800,81.000.975,94.169.739,365.046.921,9478526.0,5857729.0,27164679.0,52172473.0,95202800.0,81000975.0,94169739.0,365046921.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,300.000,-,3.766.039,6.030.972,22.955.267,33.052.278,,,300000.0,,3766039.0,6030972.0,22955267.0,33052278.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,4.157.296,4.157.296,,,,,,,4157296.0,4157296.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,1.670.885,-,448,76.096,3.157.090,4.904.519,,,1670885.0,,448.0,76096.0,3157090.0,4904519.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,37.796.267,3.932.652,11.157.252,221.052,-,53.107.223,,,37796267.0,3932652.0,11157252.0,221052.0,,53107223.0
,,,9.478.526,5.857.729,145.237.204,62.219.873,115.893.633,87.428.889,124.439.392,550.555.246,9478526.0,5857729.0,145237204.0,62219873.0,115893633.0,87428889.0,124439392.0,550555246.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,8.142.298,169.895,1.403.000,-,-,9.715.193,,,8142298.0,169895.0,1403000.0,,,9715193.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,54.394.739,7.659.390,11.180.353,3.590.643,2.060,76.827.185,,,54394739.0,7659390.0,11180353.0,3590643.0,2060.0,76827185.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,77.901.836,54.358.084,208.367.028,17.819.083,2.285,358.448.316,,,77901836.0,54358084.0,208367028.0,17819083.0,2285.0,358448316.0
"Vốn tài trợ, ủy thác dầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác dầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác dầu tư, cho vayTCTD chịu rủi ro",-,-,71.587,44.064,305.368,775.476,419.110,1.615.605,,,71587.0,44064.0,305368.0,775476.0,419110.0,1615605.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,767,5.000.975,7.599.489,8.812.850,13.261.827,34.675.908,,,767.0,5000975.0,7599489.0,8812850.0,13261827.0,34675908.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,19.817.187,-,-,-,-,19.817.187,,,19817187.0,,,,,19817187.0
,,,-,-,160.328.414,67.232.408,228.855.238,30.998.052,13.685.282,501.099.394,,,160328414.0,67232408.0,228855238.0,30998052.0,13685282.0,501099394.0
Mức chênh thanh khoản thuần,Nợ phải trả > Mức chênh thanh khoản thuần,Mức chênh thanh khoản thuần,9.478.526,5.857.729,(15.091.210),(5.012.535),(112.961.605),56.430.837,110.754.110,49.455.852,9478526.0,5857729.0,-15091210.0,-5012535.0,-112961605.0,56430837.0,110754110.0,49455852.0
