row_label_raw,row_label_full,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
415.419,415.419,415.419,27.070,71,442.560,27070.0,71.0,442560.0
558.582,558.582,558.582,490,-,559.072,490.0,,559072.0
8.678.889,8.678.889,8.678.889,574.217,26.324,9.279.430,574217.0,26324.0,9279430.0
576.296,576.296,576.296,153.574,25.283,755.153,153574.0,25283.0,755153.0
707.207,707.207,707.207,460.731,-,1.167.938,460731.0,,1167938.0
2.979.024,2.979.024,2.979.024,-,-,2.979.024,,,2979024.0
11.810.780,11.810.780,11.810.780,3.452.347,18,15.263.145,3452347.0,18.0,15263145.0
25.726.197,25.726.197,25.726.197,4.668.429,51.696,30.446.322,4668429.0,51696.0,30446322.0
20.231.244,20.231.244,20.231.244,976,-,20.232.220,976.0,,20232220.0
6.337.332,6.337.332,6.337.332,196.739,43.578,6.577.649,196739.0,43578.0,6577649.0
315.582,315.582,315.582,460.731,-,776.313,460731.0,,776313.0
184.188,184.188,184.188,3.989.801,1.829,4.175.818,3989801.0,1829.0,4175818.0
27.068.346,27.068.346,27.068.346,4.648.247,45.407,31.762.000,4648247.0,45407.0,31762000.0
(1.342.149),(1.342.149),(1.342.149),20.182,6.289,(1.315.678),20182.0,6289.0,-1315678.0
