row_label_raw,row_label_full,col_0,Năm 2015 (trước điều chỉnh),Điều chỉnh,Năm 2015(Số sau điều chỉnh),numeric__Năm 2015 (trước điều chỉnh),numeric__Điều chỉnh,numeric__Năm 2015(Số sau điều chỉnh)
,,,VND,VND,VND,,,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,139.432.263.769,-,139.432.263.769,139432263769.0,,139432263769.0
Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán đề xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán đề xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Các khoản điều chỉnh tăng hoặc giảm lợi nhuận kế toán đề xác định lợi nhuận hoặc lỗ phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,-,(9.009.400.705),(9.009.400.705),,-9009400705.0,-9009400705.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,-,-,-,,,
Các khoản điều chỉnh giảm,Các khoản điều chỉnh tăng > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,-,9.009.400.705,9.009.400.705,,9009400705.0,9009400705.0
- Trích lập quỹ khen thưởng phúc lợi,Các khoản điều chỉnh tăng > - Trích lập quỹ khen thưởng phúc lợi,- Trích lập quỹ khen thưởng phúc lợi,-,5.405.640.351,5.405.640.351,,5405640351.0,5405640351.0
- Trích lập quỹ khen thưởng Ban điều hành,Các khoản điều chỉnh tăng > - Trích lập quỹ khen thưởng Ban điều hành,- Trích lập quỹ khen thưởng Ban điều hành,-,3.603.760.354,3.603.760.354,,3603760354.0,3603760354.0
Lợi nhuận để tính lãi cơ bản trên cổ phiếu,Các khoản điều chỉnh tăng > Lợi nhuận để tính lãi cơ bản trên cổ phiếu,Lợi nhuận để tính lãi cơ bản trên cổ phiếu,139.432.263.769,(9.009.400.705),130.422.863.064,139432263769.0,-9009400705.0,130422863064.0
Số cổ phiếu bình quân lưu hành trong năm,Các khoản điều chỉnh tăng > Số cổ phiếu bình quân lưu hành trong năm,Số cổ phiếu bình quân lưu hành trong năm,67.495.930,-,67.495.930,67495930.0,,67495930.0
Lãi cơ bản trên cổ phiếu,Các khoản điều chỉnh tăng > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.066,134,1.932,2066.0,134.0,1932.0
