row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2016,Năm 2015,numeric__Mã số,numeric__Năm 2016,numeric__Năm 2015
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận kế toán trước thuế,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận kế toán trước thuế,1. Lợi nhuận kế toán trước thuế,01,300.388.400.856,266.667.170.444,1.0,300388400856.0,266667170444.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,,,,
Khấu hao tài sản cố định và bất động sản đầu tư,2. Điều chỉnh cho các khoản: > Khấu hao tài sản cố định và bất động sản đầu tư,Khấu hao tài sản cố định và bất động sản đầu tư,02,36.009.886.514,24.395.456.943,2.0,36009886514.0,24395456943.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,145.000.000,(100.000.000),3.0,145000000.0,-100000000.0
(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục,(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục,04,(150.515.920),485.387.317,4.0,-150515920.0,485387317.0
tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,tiền tệ có gốc ngoại tệ,,,,,,
(Lãi)/Lỗ từ hoạt động đầu tư,tiền tệ có gốc ngoại tệ > (Lãi)/Lỗ từ hoạt động đầu tư,(Lãi)/Lỗ từ hoạt động đầu tư,05,(12.537.646.922),(6.063.286.152),5.0,-12537646922.0,-6063286152.0
Chi phí lãi vay,tiền tệ có gốc ngoại tệ > Chi phí lãi vay,Chi phí lãi vay,06,73.693.028.738,14.690.495.297,6.0,73693028738.0,14690495297.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,tiền tệ có gốc ngoại tệ > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,397.548.153.266,300.075.223.849,8.0,397548153266.0,300075223849.0
(Tăng)/Giảm các khoản phải thu,tiền tệ có gốc ngoại tệ > (Tăng)/Giảm các khoản phải thu,(Tăng)/Giảm các khoản phải thu,09,(538.601.436.756),(304.751.158.697),9.0,-538601436756.0,-304751158697.0
(Tăng)/Giảm hàng tồn kho,tiền tệ có gốc ngoại tệ > (Tăng)/Giảm hàng tồn kho,(Tăng)/Giảm hàng tồn kho,10,143.151.422.295,(275.607.478.447),10.0,143151422295.0,-275607478447.0
Tăng/(Giảm) các khoản phải trả,tiền tệ có gốc ngoại tệ > Tăng/(Giảm) các khoản phải trả,Tăng/(Giảm) các khoản phải trả,11,218.901.449.172,164.648.708.483,11.0,218901449172.0,164648708483.0
(Tăng)/Giảm chi phí trả trước,tiền tệ có gốc ngoại tệ > (Tăng)/Giảm chi phí trả trước,(Tăng)/Giảm chi phí trả trước,12,(38.513.487.923),(8.966.355.058),12.0,-38513487923.0,-8966355058.0
Tiền lãi vay đã trả,tiền tệ có gốc ngoại tệ > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(72.061.500.746),(13.077.023.128),14.0,-72061500746.0,-13077023128.0
Thuế thu nhập doanh nghiệp đã nộp,tiền tệ có gốc ngoại tệ > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(47.969.966.022),(62.585.643.800),15.0,-47969966022.0,-62585643800.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,tiền tệ có gốc ngoại tệ > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,62.454.633.286,(200.263.726.798),20.0,62454633286.0,-200263726798.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSHD khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSHD khác","1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSHD khác",21,(343.964.528.682),(691.348.795.504),21.0,-343964528682.0,-691348795504.0
"2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu do thanh lý, nhượng bán TSCĐ và các TSDH khác",22,6.650.000.000,100.000.000,22.0,6650000000.0,100000000.0
3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,3. Tiền chi cho vay và mua công cụ nợ của các đơn vị khác,23,(633.885.000.000),(610.452.340.000),23.0,-633885000000.0,-610452340000.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,430.785.000.000,634.977.340.000,24.0,430785000000.0,634977340000.0
"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,11.054.276.810,5.508.061.332,27.0,11054276810.0,5508061332.0
