row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Quyền sử dụng đất VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Quyền sử dụng đất VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,178.845.995.929,3.407.568.000,182.253.563.929,178845995929.0,3407568000.0,182253563929.0
Giảm khác (*),NGUYÊN GIÁ > Giảm khác (*),Giảm khác (*),(32.308.182),-,(32.308.182),-32308182.0,,-32308182.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,178.813.687.747,3.407.568.000,182.221.255.747,178813687747.0,3407568000.0,182221255747.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,23.578.779.149,-,23.578.779.149,23578779149.0,,23578779149.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,3.832.642.600,-,3.832.642.600,3832642600.0,,3832642600.0
Tại ngày 31/12/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,27.411.421.749,-,27.411.421.749,27411421749.0,,27411421749.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,155.267.216.780,3.407.568.000,158.674.784.780,155267216780.0,3407568000.0,158674784780.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,151.402.265.998,3.407.568.000,154.809.833.998,151402265998.0,3407568000.0,154809833998.0
