row_label_raw,row_label_full,col_0,Quyền sử dụng đấtVND,Chương trình phần mềmVND,"Nhân hiệu, tên thương mạiVND","Bản quyền, bằng sáng chếVND",CộngVND,numeric__Quyền sử dụng đấtVND,numeric__Chương trình phần mềmVND,"numeric__Nhân hiệu, tên thương mạiVND","numeric__Bản quyền, bằng sáng chếVND",numeric__CộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,-,371.705.750,267.227.596,62.000.000,700.933.346,,371705750.0,267227596.0,62000000.0,700933346.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,64.994.722,-,8.489.700.193,8.554.694.915,,64994722.0,,8489700193.0,8554694915.0
Xây dựng cơ bản hoàn thành (*),NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành (*),Xây dựng cơ bản hoàn thành (*),62.518.508.720,-,-,-,62.518.508.720,62518508720.0,,,,62518508720.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,62.518.508.720,436.700.472,267.227.596,8.551.700.193,71.774.136.981,62518508720.0,436700472.0,267227596.0,8551700193.0,71774136981.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,-,259.518.251,226.583.690,62.000.000,548.101.941,,259518251.0,226583690.0,62000000.0,548101941.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.289.536.616,37.309.625,40.643.906,1.028.786.586,2.396.276.733,1289536616.0,37309625.0,40643906.0,1028786586.0,2396276733.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,1.289.536.616,296.827.876,267.227.596,1.090.786.586,2.944.378.674,1289536616.0,296827876.0,267227596.0,1090786586.0,2944378674.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,-,112.187.499,40.643.906,-,152.831.405,,112187499.0,40643906.0,,152831405.0
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,61.228.972.104,139.872.596,-,7.460.913.607,68.829.758.307,61228972104.0,139872596.0,,7460913607.0,68829758307.0
