row_label_raw,row_label_full,col_0,Năm 2016VND,Năm 2015VND,numeric__Năm 2016VND,numeric__Năm 2015VND
Bán hàng,Bán hàng,Bán hàng,Bán hàng,Bán hàng,,
Phạm Thị Mai Lan,Bán hàng > Phạm Thị Mai Lan,Phạm Thị Mai Lan,665.073.704,-,665073704.0,
Đỗ Văn Tiến,Bán hàng > Đỗ Văn Tiến,Đỗ Văn Tiến,2.814.947.321,-,2814947321.0,
Công ty TNHH MTV Thu Hoài Phú Quốc,Bán hàng > Công ty TNHH MTV Thu Hoài Phú Quốc,Công ty TNHH MTV Thu Hoài Phú Quốc,55.913.232.727,-,55913232727.0,
Công ty TNHH MTV Đầu tư Quang Tiến Phú Quốc,Bán hàng > Công ty TNHH MTV Đầu tư Quang Tiến Phú Quốc,Công ty TNHH MTV Đầu tư Quang Tiến Phú Quốc,33.350.800.976,-,33350800976.0,
Đoàn Thị Thảo,Bán hàng > Đoàn Thị Thảo,Đoàn Thị Thảo,12.643.302.114,-,12643302114.0,
Vũ Thị Lan Anh,Bán hàng > Vũ Thị Lan Anh,Vũ Thị Lan Anh,9.554.212.247,-,9554212247.0,
Cộng,Bán hàng > Cộng,Cộng,114.941.569.089,-,114941569089.0,
Tiền chi cho vay,Tiền chi cho vay,Tiền chi cho vay,Tiền chi cho vay,Tiền chi cho vay,,
Đỗ Văn Tiến,Tiền chi cho vay > Đỗ Văn Tiến,Đỗ Văn Tiến,7.600.000.000,-,7600000000.0,
Cộng,Tiền chi cho vay > Cộng,Cộng,7.600.000.000,-,7600000000.0,
