row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2016,01/01/2016,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016,numeric__01/01/2016
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,2.267.972.420.308,1.521.966.646.150,300.0,,2267972420308.0,1521966646150.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,1.220.200.386.810,630.514.062.335,310.0,,1220200386810.0,630514062335.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,V.14,151.417.470.673,93.564.212.095,311.0,,151417470673.0,93564212095.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,V.16,401.652.584.444,171.449.959.991,312.0,,401652584444.0,171449959991.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,V.15,98.316.283.389,39.700.502.798,313.0,,98316283389.0,39700502798.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,10.567.912.085,9.634.757.365,314.0,,10567912085.0,9634757365.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,V.17a,27.641.370.862,24.827.690.533,315.0,,27641370862.0,24827690533.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,V.18a,14.213.552.946,605.921.410,318.0,,14213552946.0,605921410.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,V.19a,81.796.935.343,58.964.597.806,319.0,,81796935343.0,58964597806.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,V.20,395.643.645.445,217.272.514.517,320.0,,395643645445.0,217272514517.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,,1.688.943.850,-,321.0,,1688943850.0,
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,,37.261.687.773,14.493.905.820,322.0,,37261687773.0,14493905820.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,1.047.772.033.498,891.452.583.815,330.0,,1047772033498.0,891452583815.0
1. Chi phí phải trả dài hạn,1. Chi phí phải trả dài hạn,1. Chi phí phải trả dài hạn,333,V.17b,75.723.565.512,4.386.401.328,333.0,,75723565512.0,4386401328.0
2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,2. Doanh thu chưa thực hiện dài hạn,336,V.18b,112.907.399.131,140.314.922.385,336.0,,112907399131.0,140314922385.0
3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,3. Phải trả dài hạn khác,337,V.19b,6.436.223.033,5.848.263.353,337.0,,6436223033.0,5848263353.0
4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,4. Vay và nợ thuê tài chính dài hạn,338,V.21,850.960.373.038,740.902.996.749,338.0,,850960373038.0,740902996749.0
5. Thuế thu nhập hoãn lại phải trả,5. Thuế thu nhập hoãn lại phải trả,5. Thuế thu nhập hoãn lại phải trả,341,,1.744.472.784,-,341.0,,1744472784.0,
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,V.22,1.566.576.778.942,1.088.589.672.745,400.0,,1566576778942.0,1088589672745.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,,1.566.576.778.942,1.088.589.672.745,410.0,,1566576778942.0,1088589672745.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.029.359.940.000,686.239.960.000,411.0,,1029359940000.0,686239960000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.029.359.940.000,686.239.960.000,,,1029359940000.0,686239960000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,,65.703.471.180,44.358.764.762,418.0,,65703471180.0,44358764762.0
3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,3. Quỹ khác thuộc vốn chủ sở hữu,420,,-,18.214,420.0,,,18214.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,191.523.873.400,140.333.081.221,421.0,,191523873400.0,140333081221.0
