row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,11.182.902.222,22.063.487.256,24.572.615.204,3.140.682.043,1.920.317.005,62.880.003.730,11182902222.0,22063487256.0,24572615204.0,3140682043.0,1920317005.0,62880003730.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,608.750.000,10.307.581.666,21.699.201.742,732.542.983,50.000.000,33.398.076.391,608750000.0,10307581666.0,21699201742.0,732542983.0,50000000.0,33398076391.0
Đầu tư XDCB hoàn thành (*),NGUYÊN GIÁ > Đầu tư XDCB hoàn thành (*),Đầu tư XDCB hoàn thành (*),992.750.833.748,-,-,1.587.049.413,-,994.337.883.161,992750833748.0,,,1587049413.0,,994337883161.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(466.666.667),(5.976.960.000),-,-,(6.443.626.667),,-466666667.0,-5976960000.0,,,-6443626667.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,1.004.542.485.970,31.904.402.255,40.294.856.946,5.460.274.439,1.970.317.005,1.084.172.336.615,1004542485970.0,31904402255.0,40294856946.0,5460274439.0,1970317005.0,1084172336615.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,2.389.984.729,7.681.498.756,4.498.891.788,2.019.539.188,1.714.317.005,18.304.231.466,2389984729.0,7681498756.0,4498891788.0,2019539188.0,1714317005.0,18304231466.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,21.149.585.494,3.296.041.827,4.806.029.382,400.343.964,128.966.514,29.780.967.181,21149585494.0,3296041827.0,4806029382.0,400343964.0,128966514.0,29780967181.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(466.666.667),(435.820.000),-,-,(902.486.667),,-466666667.0,-435820000.0,,,-902486667.0
Tại ngày 31/12/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,23.539.570.223,10.510.873.916,8.869.101.170,2.419.883.152,1.843.283.519,47.182.711.980,23539570223.0,10510873916.0,8869101170.0,2419883152.0,1843283519.0,47182711980.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,8.792.917.493,14.381.988.500,20.073.723.416,1.121.142.855,206.000.000,44.575.772.264,8792917493.0,14381988500.0,20073723416.0,1121142855.0,206000000.0,44575772264.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,981.002.915.747,21.393.528.339,31.425.755.776,3.040.391.287,127.033.486,1.036.989.624.635,981002915747.0,21393528339.0,31425755776.0,3040391287.0,127033486.0,1036989624635.0
