row_label_raw,row_label_full,col_0,Công ty CP Đầu tư và Phát triển Phú Quốc VND,Công ty TNHH C.E.O Quốc tế VND,Công ty Cổ phần đầu tư BMC - C.E.O VND,Công ty Cổ phần Du lịch C.E.O VND,Công ty CP Phát triển Nhà và Đô thị Phú Quốc VND,Tổng VND,numeric__Công ty CP Đầu tư và Phát triển Phú Quốc VND,numeric__Công ty TNHH C.E.O Quốc tế VND,numeric__Công ty Cổ phần đầu tư BMC - C.E.O VND,numeric__Công ty Cổ phần Du lịch C.E.O VND,numeric__Công ty CP Phát triển Nhà và Đô thị Phú Quốc VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2016,NGUYÊN GIÁ > Tại ngày 01/01/2016,Tại ngày 01/01/2016,90.029.000.000,3.919.980.000,13.683.536.032,-,-,107.632.516.032,90029000000.0,3919980000.0,13683536032.0,,,107632516032.0
Tăng do mua công ty con,NGUYÊN GIÁ > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,44.622.197,127.838.439.012,127.883.061.209,,,,44622197.0,127838439012.0,127883061209.0
Tại ngày 31/12/2016,NGUYÊN GIÁ > Tại ngày 31/12/2016,Tại ngày 31/12/2016,90.029.000.000,3.919.980.000,13.683.536.032,44.622.197,127.838.439.012,235.515.577.241,90029000000.0,3919980000.0,13683536032.0,44622197.0,127838439012.0,235515577241.0
HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,,,,,,
Tại ngày 01/01/2016,HAO MÒN > Tại ngày 01/01/2016,Tại ngày 01/01/2016,33.797.928.572,1.567.992.000,2.736.707.206,-,-,38.102.627.778,33797928572.0,1567992000.0,2736707206.0,,,38102627778.0
Khấu hao trong năm,HAO MÒN > Khấu hao trong năm,Khấu hao trong năm,11.246.214.286,391.998.000,2.736.707.207,44.622.197,2.130.640.651,16.550.182.341,11246214286.0,391998000.0,2736707207.0,44622197.0,2130640651.0,16550182341.0
Tại ngày 31/12/2016,HAO MÒN > Tại ngày 31/12/2016,Tại ngày 31/12/2016,45.044.142.858,1.959.990.000,5.473.414.413,44.622.197,2.130.640.651,54.652.810.119,45044142858.0,1959990000.0,5473414413.0,44622197.0,2130640651.0,54652810119.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 01/01/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2016,Tại ngày 01/01/2016,56.231.071.428,2.351.988.000,10.946.828.826,-,-,69.529.888.254,56231071428.0,2351988000.0,10946828826.0,,,69529888254.0
Tại ngày 31/12/2016,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2016,Tại ngày 31/12/2016,44.984.857.142,1.959.990.000,8.210.121.619,-,125.707.798.361,180.862.767.122,44984857142.0,1959990000.0,8210121619.0,,125707798361.0,180862767122.0
