row_label_raw,row_label_full,1. Điều chính Lợi nhuận chưa thực hiện năm 2014,1. Điều chính Lợi nhuận chưa thực hiện năm 2014_1,numeric__1. Điều chính Lợi nhuận chưa thực hiện năm 2014_1
Giảm Hàng tồn kho,Giảm Hàng tồn kho,Giảm Hàng tồn kho,6.441.293.960,6441293960.0
Giảm Lợi nhuận sau thuế chưa phân phối,Giảm Lợi nhuận sau thuế chưa phân phối,Giảm Lợi nhuận sau thuế chưa phân phối,3.979.431.408,3979431408.0
Giảm Lợi ích cổ đông không kiểm soát,Giảm Lợi ích cổ đông không kiểm soát,Giảm Lợi ích cổ đông không kiểm soát,2.461.862.552,2461862552.0
