row_label_raw,row_label_full,Chỉ tiêu trên Báo cáo,Mã số,31/12/2015(trước điều chỉnh)VND,31/12/2015(sau điều chỉnh)VND,numeric__Mã số,numeric__31/12/2015(trước điều chỉnh)VND,numeric__31/12/2015(sau điều chỉnh)VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,1.531.872.218.607,1.525.430.924.647,100.0,1531872218607.0,1525430924647.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,759.509.287.430,753.067.993.470,140.0,759509287430.0,753067993470.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,759.509.287.430,753.067.993.470,141.0,759509287430.0,753067993470.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,1.089.140.271.243,1.085.125.394.248,200.0,1089140271243.0,1085125394248.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,737.508.416.021,732.489.819.777,240.0,737508416021.0,732489819777.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,737.508.416.021,732.489.819.777,242.0,737508416021.0,732489819777.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,120.810.450.328,121.814.169.577,260.0,120810450328.0,121814169577.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,5.343.758.082,6.347.477.331,262.0,5343758082.0,6347477331.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,2.621.012.489.850,2.610.556.318.895,270.0,2621012489850.0,2610556318895.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,1.099.045.843.700,1.088.589.672.745,400.0,1099045843700.0,1088589672745.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,1.099.045.843.700,1.088.589.672.745,410.0,1099045843700.0,1088589672745.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,146.360.099.897,140.333.081.221,421.0,146360099897.0,140333081221.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,6.927.836.128,900.817.452,,6927836128.0,900817452.0
5. Lợi ích cổ đông không kiểm soát,5. Lợi ích cổ đông không kiểm soát,5. Lợi ích cổ đông không kiểm soát,429,222.087.000.827,217.657.848.548,429.0,222087000827.0,217657848548.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,2.621.012.489.850,2.610.556.318.895,440.0,2621012489850.0,2610556318895.0
