row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2016VND,Giá trị ghi sổ > 01/01/2016VND,numeric__Giá trị ghi sổ > 31/12/2016VND,numeric__Giá trị ghi sổ > 01/01/2016VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,121.150.408.600,44.726.779.101,121150408600.0,44726779101.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.126.296.203.796,446.265.454.540,1126296203796.0,446265454540.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,2.110.000.000,10.000.000,2110000000.0,10000000.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,110.637.450.000,5.135.100.000,110637450000.0,5135100000.0
Cộng,Tài sản tài chính > Cộng,Cộng,1.360.194.062.396,496.137.333.641,1360194062396.0,496137333641.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,1.246.604.018.483,958.175.511.266,1246604018483.0,958175511266.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,239.650.629.049,158.377.073.254,239650629049.0,158377073254.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,27.641.370.862,24.827.690.533,27641370862.0,24827690533.0
Cộng,Công nợ tài chính > Cộng,Cộng,1.513.896.018.394,1.141.380.275.053,1513896018394.0,1141380275053.0
