row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác của chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác của chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,343.119.980.000,40.264.171.881,136.172.652,82.825.873.061,79.032.339.252,545.378.536.846,343119980000.0,40264171881.0,136172652.0,82825873061.0,79032339252.0,545378536846.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,343.119.980.000,-,-,-,-,343.119.980.000,343119980000.0,,,,,343119980000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,139.432.263.769,66.193.733.631,205.625.997.400,,,,139432263769.0,66193733631.0,205625997400.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,10.338.122.028,69.635.662,(21.039.772.789),(2.727.915.866),(13.359.930.965),,10338122028.0,69635662.0,-21039772789.0,-2727915866.0,-13359930965.0
Tăng do phân loại lại Công ty con,Tăng do phân loại lại Công ty con,Tăng do phân loại lại Công ty con,-,-,-,40.932.656,588.343.810,629.276.466,,,,40932656.0,588343810.0,629276466.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,(54.899.196.800),(23.099.500.000),(77.998.696.800),,,,-54899196800.0,-23099500000.0,-77998696800.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,-,-,-,-,102.100.000.000,102.100.000.000,,,,,102100000000.0,102100000000.0
Giảm khác,Giảm khác,Giảm khác,-,(6.243.529.147),(205.790.100),-,-,(6.449.319.247),,-6243529147.0,-205790100.0,,,-6449319247.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,686.239.960.000,44.358.764.762,18.214,146.360.099.897,222.087.000.827,1.099.045.843.700,686239960000.0,44358764762.0,18214.0,146360099897.0,222087000827.0,1099045843700.0
Số dư tại ngày 31/12/2015 sau khi điều chỉnh hồi tố,Số dư tại ngày 31/12/2015 sau khi điều chỉnh hồi tố,Số dư tại ngày 31/12/2015 sau khi điều chỉnh hồi tố,686.239.960.000,44.358.764.762,18.214,140.333.081.221,"217.657.848.548,00",1.088.589.672.745,686239960000.0,44358764762.0,18214.0,140333081221.0,217657848548.0,1088589672745.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,343.119.980.000,-,-,(2.762.221.535),39.798.902.751,380.156.661.216,343119980000.0,,,-2762221535.0,39798902751.0,380156661216.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,156.982.996.514,72.984.974.633,229.967.971.147,,,,156982996514.0,72984974633.0,229967971147.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,21.344.706.418,-,(21.344.706.418),-,-,,21344706418.0,,-21344706418.0,,
Giảm khác,Giảm khác,Giảm khác,-,-,(18.214),-,-,(18.214),,,-18214.0,,,-18214.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,,,,(16.319.919.628),(7.837.231.570),(24.157.151.198),,,,-16319919628.0,-7837231570.0,-24157151198.0
Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,-,-,-,(3.603.760.354),-,(3.603.760.354),,,,-3603760354.0,,-3603760354.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,,,,(61.761.596.400),(42.615.000.000),(104.376.596.400),,,,-61761596400.0,-42615000000.0,-104376596400.0
Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,Số dư tại ngày 31/12/2016,1.029.359.940.000,65.703.471.180,-,191.523.873.400,279.989.494.362,1.566.576.778.942,1029359940000.0,65703471180.0,,191523873400.0,279989494362.0,1566576778942.0
