row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năngtrả nợVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khả năngtrả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năngtrả nợVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khả năngtrả nợVND
Công ty Cổ phần xây dựng Cotec,Công ty Cổ phần xây dựng Cotec,Công ty Cổ phần xây dựng Cotec,46.111.486.654,46.111.486.654,23.895.034.894,23.895.034.894,46111486654.0,46111486654.0,23895034894.0,23895034894.0
Công ty TNHH thương mại Thuận Phát,Công ty TNHH thương mại Thuận Phát,Công ty TNHH thương mại Thuận Phát,-,-,7.576.548.385,7.576.548.385,,,7576548385.0,7576548385.0
Công ty Cổ phần Công nghệ giải pháp Thi Thiên,Công ty Cổ phần Công nghệ giải pháp Thi Thiên,Công ty Cổ phần Công nghệ giải pháp Thi Thiên,-,-,3.464.823.810,3.464.823.810,,,3464823810.0,3464823810.0
Công ty TNHH Dân & Dan,Công ty TNHH Dân & Dan,Công ty TNHH Dân & Dan,-,-,3.152.042.823,3.152.042.823,,,3152042823.0,3152042823.0
Công ty TNHH Đầu bếp Châu Âu,Công ty TNHH Đầu bếp Châu Âu,Công ty TNHH Đầu bếp Châu Âu,-,-,2.963.683.056,2.963.683.056,,,2963683056.0,2963683056.0
Công ty Cổ phần kỹ thuật Sigma,Công ty Cổ phần kỹ thuật Sigma,Công ty Cổ phần kỹ thuật Sigma,10.431.889.086,10.431.889.086,-,-,10431889086.0,10431889086.0,,
Công ty TNHH MTV phát triển bất động sản và du lịch VGC Phú Quốc,Công ty TNHH MTV phát triển bất động sản và du lịch VGC Phú Quốc,Công ty TNHH MTV phát triển bất động sản và du lịch VGC Phú Quốc,7.065.638.923,7.065.638.923,-,-,7065638923.0,7065638923.0,,
Công ty Cổ phần Cáp điện và hệ thống LS-VINA,Công ty Cổ phần Cáp điện và hệ thống LS-VINA,Công ty Cổ phần Cáp điện và hệ thống LS-VINA,6.074.291.433,6.074.291.433,-,-,6074291433.0,6074291433.0,,
Nhà cung cấp khác,Nhà cung cấp khác,Nhà cung cấp khác,81.734.164.577,81.734.164.577,52.512.079.127,52.512.079.127,81734164577.0,81734164577.0,52512079127.0,52512079127.0
Cộng,Cộng,Cộng,151.417.470.673,151.417.470.673,93.564.212.095,93.564.212.095,151417470673.0,151417470673.0,93564212095.0,93564212095.0
