row_label_raw,row_label_full,col_0,Mã số,2015(phân loại lại)VND,2015(theo báo cáotrước đây)VND,numeric__Mã số,numeric__2015(phân loại lại)VND,numeric__2015(theo báo cáotrước đây)VND
"Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán","Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán","Doanh thu nghiệp vụ bảo lãnh, đại lý phát hành chứng khoán",07,65.280.201,-,7.0,65280201.0,
Thu nhập hoạt động khác,Thu nhập hoạt động khác,Thu nhập hoạt động khác,11,43.777.336.041,-,11.0,43777336041.0,
"Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong năm","Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong năm","Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong năm",42,591.371.776,-,42.0,591371776.0,
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,,-,288.579.543.632,,,288579543632.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,-,93.403.437.758,,,93403437758.0
Lỗ các TSTC FVTPL,Lỗ các TSTC FVTPL,Lỗ các TSTC FVTPL,21,67.090.428.184,-,21.0,67090428184.0,
Chi phí hoạt động tự doanh,Chi phí hoạt động tự doanh,Chi phí hoạt động tự doanh,26,1.649.090.674,-,26.0,1649090674.0,
Chi phí nghiệp vụ môi giới chứng khoán,Chi phí nghiệp vụ môi giới chứng khoán,Chi phí nghiệp vụ môi giới chứng khoán,27,151.035.010.959,-,27.0,151035010959.0,
Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,28,5.289.133.700,-,28.0,5289133700.0,
Chi phí nghiệp vụ lưu ký chứng khoán,Chi phí nghiệp vụ lưu ký chứng khoán,Chi phí nghiệp vụ lưu ký chứng khoán,30,5.698.972.239,-,30.0,5698972239.0,
Chi phí khác,Chi phí khác,Chi phí khác,32,19.703.393.113,-,32.0,19703393113.0,
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,52,86.117.776.530,-,52.0,86117776530.0,
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,55,240.437.158,-,55.0,240437158.0,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,61,1.469.329.767,-,61.0,1469329767.0,
Chi phí quản lý công ty chứng khoán,Chi phí quản lý công ty chứng khoán,Chi phí quản lý công ty chứng khoán,62,43.689.409.066,-,62.0,43689409066.0,
