row_label_raw,row_label_full,col_0,2016VND,2015VND(phân loại lại),numeric__2016VND,numeric__2015VND(phân loại lại)
Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,Chi phí lương và các khoản khác theo lương,34.768.275.771,25.179.307.063,34768275771.0,25179307063.0
Chi phí văn phòng phẩm,Chi phí văn phòng phẩm,Chi phí văn phòng phẩm,244.442.467,52.005.921,244442467.0,52005921.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",352.613.841,848.792.748,352613841.0,848792748.0
Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,3.032.803.091,3.196.124.868,3032803091.0,3196124868.0
"Chi phí thuế, phí và lệ phí","Chi phí thuế, phí và lệ phí","Chi phí thuế, phí và lệ phí",87.490.000,53.816.000,87490000.0,53816000.0
"Chi phí hội nghị, tổng kết","Chi phí hội nghị, tổng kết","Chi phí hội nghị, tổng kết",3.382.726.608,421.996.866,3382726608.0,421996866.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,1.452.888.637,980.033.616,1452888637.0,980033616.0
"Chi phí tiếp khách, quả tặng","Chi phí tiếp khách, quả tặng","Chi phí tiếp khách, quả tặng",2.879.590.897,1.776.108.168,2879590897.0,1776108168.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,9.771.562.071,8.821.189.566,9771562071.0,8821189566.0
Chi phí khác,Chi phí khác,Chi phí khác,2.341.023.834,2.360.034.250,2341023834.0,2360034250.0
,,,58.313.417.217,43.689.409.066,58313417217.0,43689409066.0
