row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tự doanh chứng khoán,Hoạt động tự doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Hợp nhất,Hợp nhất_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tự doanh chứng khoán,numeric__Hoạt động tự doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2016VND,2015VND,2016VND,2015VND,2016VND,2015VND,2016VND,2015VND,2016VND,2015VND,,,,,,,,,,
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,,,,,,
Chi phí không phân bổ,Chi phí > Chi phí không phân bổ,Chi phí không phân bổ,152.833.694.005,151.035.010.959,69.722.546.119,68.739.518.858,20.573.038.946,5.289.133.700,73.785.558.599,25.402.365.352,316.914.837.669,250.466.028.869,152833694005.0,151035010959.0,69722546119.0,68739518858.0,20573038946.0,5289133700.0,73785558599.0,25402365352.0,316914837669.0,250466028869.0
Kết quả kinh doanh của bộ phận,Chi phí > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,186.720.447.870,68.262.903.434,(9.875.942.212),44.940.717.520,26.858.926.900,1.271.464.681,(6.936.023.620),25.789.050.102,196.767.408.938,140.264.135.737,186720447870.0,68262903434.0,-9875942212.0,44940717520.0,26858926900.0,1271464681.0,-6936023620.0,25789050102.0,196767408938.0,140264135737.0
Chi phí phân bổ (lãi vay),Chi phí > Chi phí phân bổ (lãi vay),Chi phí phân bổ (lãi vay),91.545.330.782,42.181.750.956,28.759.069.365,44.176.462.732,-,-,-,-,120.304.400.147,86.358.213.688,91545330782.0,42181750956.0,28759069365.0,44176462732.0,,,,,120304400147.0,86358213688.0
Chi phí phân bổ (chi phí quản lý và bán hàng),Chi phí > Chi phí phân bổ (chi phí quản lý và bán hàng),Chi phí phân bổ (chi phí quản lý và bán hàng),39.730.635.523,25.345.412.614,7.002.546.322,13.138.622.431,5.549.931.262,758.242.838,7.821.947.023,5.916.460.950,60.105.060.130,45.158.738.833,39730635523.0,25345412614.0,7002546322.0,13138622431.0,5549931262.0,758242838.0,7821947023.0,5916460950.0,60105060130.0,45158738833.0
Tổng chi phí phân bổ,Chi phí > Tổng chi phí phân bổ,Tổng chi phí phân bổ,131.275.966.305,67.527.163.570,35.761.615.687,57.315.085.163,5.549.931.262,758.242.838,7.821.947.023,5.916.460.950,180.409.460.277,131.516.952.521,131275966305.0,67527163570.0,35761615687.0,57315085163.0,5549931262.0,758242838.0,7821947023.0,5916460950.0,180409460277.0,131516952521.0
Kết quả từ các hoạt động kinh doanh,Chi phí > Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,55.444.481.565,735.739.864,(45.637.557.899),(12.374.367.643),21.308.995.638,513.221.843,(14.757.970.643),19.872.589.152,16.357.948.661,8.747.183.216,55444481565.0,735739864.0,-45637557899.0,-12374367643.0,21308995638.0,513221843.0,-14757970643.0,19872589152.0,16357948661.0,8747183216.0
Thu nhập khác,Chi phí > Thu nhập khác,Thu nhập khác,-,-,-,-,-,-,1.051.818.182,649.034.233,1.051.818.182,649.034.233,,,,,,,1051818182.0,649034233.0,1051818182.0,649034233.0
Chi phí khác,Chi phí > Chi phí khác,Chi phí khác,-,-,-,-,-,-,591.781.899,1.400.000,591.781.899,1.400.000,,,,,,,591781899.0,1400000.0,591781899.0,1400000.0
Lợi nhuận trước thuế,Chi phí > Lợi nhuận trước thuế,Lợi nhuận trước thuế,55.444.481.565,735.739.864,(45.637.557.899),(12.374.367.643),21.308.995.638,513.221.843,(14.297.934.360),20.520.223.385,16.817.984.944,9.394.817.449,55444481565.0,735739864.0,-45637557899.0,-12374367643.0,21308995638.0,513221843.0,-14297934360.0,20520223385.0,16817984944.0,9394817449.0
