row_label_raw,row_label_full,Giấy phép Hoạt độngKinh doanh Chứng khoán số,116/GP-UBCK,ngày 9 tháng 12 năm 2013,numeric__116/GP-UBCK,numeric__ngày 9 tháng 12 năm 2013
Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép Hoạt động Kinh doanh Chứng khoán và các giấy phép điều chỉnh do Ủy ban Chứng khoán Nhà nước cấp.,Giấy phép Hoạt động Kinh doanh Chứng khoán và các giấy phép điều chỉnh do Ủy ban Chứng khoán Nhà nước cấp.,,
Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép Hoạt độngKinh doanh Chứng khoán số,Giấy phép điều chỉnh mới nhất số 12/GPĐC-UBCK do Ủy banChứng khoán Nhà nước cấp ngày 11 tháng 6 năm 2014.,Giấy phép điều chỉnh mới nhất số 12/GPĐC-UBCK do Ủy banChứng khoán Nhà nước cấp ngày 11 tháng 6 năm 2014.,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Quốc Minh,Chủ tịch(bổ nhiệm ngày 15/4/2016),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Cao Thị Thúy Nga,Chủ tịch(miễn nhiệm ngày 15/4/2016),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Vũ Thành Trung,Phó Chủ tịch(bổ nhiệm ngày 15/4/2016),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Hoàng Minh Tuấn,Phó Chủ tịch(miễn nhiệm ngày 15/4/2016),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phạm Thế Anh,Thành viên(bổ nhiệm ngày 15/4/2016),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Trần Hải Hà,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Đăng Thúy Dung,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Đoàn Kim Dung,Thành viên(miễn nhiệm ngày 15/4/2016),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Cao Thị Thúy Nga,Trường ban(bổ nhiệm ngày 15/4/2016),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Nguyễn Thanh Bình,Trường ban(miễn nhiệm ngày 15/4/2016),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Nguyễn Thị Diệp Quỳnh,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Nguyễn Kim Chung,Thành viên,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Trần Hải Hà,Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Phùng Thị Thanh Hà,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Thành Nam,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Nguyễn Thị Việt Oanh,Phó Tổng Giám đốc(bổ nhiệm ngày 3/1/2017),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Chu Hải Công,Phó Tổng Giám đốc(bổ nhiệm ngày 18/8/2016)(miễn nhiệm ngày 30/12/2016),,
