row_label_raw,row_label_full,col_0,Mã số,2015(phân loại lại) > VND,2015(theo báo cáotrước đây)VND,numeric__Mã số,numeric__2015(phân loại lại) > VND,numeric__2015(theo báo cáotrước đây)VND
Tăng/(giảm) phải trả cho người bán,Tăng/(giảm) phải trả cho người bán,Tăng/(giảm) phải trả cho người bán,45,1.200.709.815,-,45.0,1200709815.0,
Tăng/(giảm) các khoản trích lập phúc lợi nhân viên,Tăng/(giảm) các khoản trích lập phúc lợi nhân viên,Tăng/(giảm) các khoản trích lập phúc lợi nhân viên,46,600.508.725,-,46.0,600508725.0,
Tăng/(giảm) thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),Tăng/(giảm) thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),Tăng/(giảm) thuế và các khoản phải nộp Nhà nước (không bao gồm thuế TNDN đã nộp),47,(1.692.531.813),-,47.0,-1692531813.0,
Tăng/(giảm) phải trả người lao động,Tăng/(giảm) phải trả người lao động,Tăng/(giảm) phải trả người lao động,48,(406.897.334),-,48.0,-406897334.0,
"Tăng/(giảm) phải trả, phải nộp khác","Tăng/(giảm) phải trả, phải nộp khác","Tăng/(giảm) phải trả, phải nộp khác",50,(38.981.808.046),-,50.0,-38981808046.0,
Tiền vay gốc,Tiền vay gốc,Tiền vay gốc,73,899.814.541.328,1.004.000.000.000,73.0,899814541328.0,1004000000000.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,74,(834.000.000.000),(934.000.000.000),74.0,-834000000000.0,-934000000000.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,,-,(13.925.000.000),,,-13925000000.0
Tiền thu hồi từ bán lại công cụ nợ của đơn vị khác,Tiền thu hồi từ bán lại công cụ nợ của đơn vị khác,Tiền thu hồi từ bán lại công cụ nợ của đơn vị khác,,-,133.106.455.000,,,133106455000.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,,-,32.176.765.527,,,32176765527.0
