row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND (phân loại lại),numeric__Chỉ tiêu,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND (phân loại lại)
B.,B.,B.,TÀI SẢN DÀI HẠN(200 = 210 + 220 + 250),200,,196.118.596.011,89.586.435.541,,200.0,,196118596011.0,89586435541.0
I.,I.,I.,Tài sản tài chính dài hạn,210,,101.000.000.000,-,,210.0,,101000000000.0,
2.,2.,2.,Các khoản đầu tư,212,,101.000.000.000,-,,212.0,,101000000000.0,
2.1.,2.1.,2.1.,Các khoản đầu tư nằm giữ đến ngày đáo hạn,212.1,9(b),101.000.000.000,-,,2121.0,,101000000000.0,
II.,II.,II.,Tài sản cố định,220,,12.458.541.905,5.485.051.982,,220.0,,12458541905.0,5485051982.0
1.,1.,1.,Tài sản cố định hữu hình,221,14,12.086.591.902,5.449.829.757,,221.0,14.0,12086591902.0,5449829757.0
1.,1.,1.,- Nguyên giá,222,,57.763.073.251,53.063.051.881,,222.0,,57763073251.0,53063051881.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223a,,(45.676.481.349),(47.613.222.124),,,,-45676481349.0,-47613222124.0
3.,3.,3.,Tài sản cố định vô hình,227,15,371.950.003,35.222.225,,227.0,15.0,371950003.0,35222225.0
3.,3.,3.,- Nguyên giá,228,,2.010.833.300,8.150.151.501,,228.0,,2010833300.0,8150151501.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229a,,(1.638.883.297),(8.114.929.276),,,,-1638883297.0,-8114929276.0
V.,V.,V.,Tài sản dài hạn khác,250,,82.660.054.106,84.101.383.559,,250.0,,82660054106.0,84101383559.0
1.,1.,1.,"Cảm cố, thế chấp, ký quỹ, ký cược dài hạn",251,,500.951.588,196.926.588,,251.0,,500951588.0,196926588.0
2.,2.,2.,Chi phí trả trước dài hạn,252,,75.061.268.561,79.142.483.014,,252.0,,75061268561.0,79142483014.0
3.,3.,3.,Tài sản thuế thu nhập hoãn lại,253,,1.641.400.000,1.805.540.000,,253.0,,1641400000.0,1805540000.0
4.,4.,4.,Tiền nộp Quỹ Hồ trợ thanh toán,254,16,5.456.433.957,2.956.433.957,,254.0,16.0,5456433957.0,2956433957.0
,,,TỔNG CỘNG TÀI SẢN(270 = 100 + 200),270,,3.518.469.718.806,2.547.283.048.179,,270.0,,3518469718806.0,2547283048179.0
