row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.309.659.400,40.894.805.776,5.126.765.017,3.377.349.651,50.708.579.844,1309659400.0,40894805776.0,5126765017.0,3377349651.0,50708579844.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.885.469.280,-,-,2.885.469.280,,2885469280.0,,,2885469280.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(78.200.000),-,(417.476.243),(495.676.243),,-78200000.0,,-417476243.0,-495676243.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(35.321.000),-,-,(35.321.000),,-35321000.0,,,-35321000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.309.659.400,43.666.754.056,5.126.765.017,2.959.873.408,53.063.051.881,1309659400.0,43666754056.0,5126765017.0,2959873408.0,53063051881.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,801.124.578,37.783.436.007,3.003.229.108,3.025.251.360,44.613.041.053,801124578.0,37783436007.0,3003229108.0,3025251360.0,44613041053.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,261.931.884,2.291.308.750,707.206.209,145.488.441,3.405.935.284,261931884.0,2291308750.0,707206209.0,145488441.0,3405935284.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(78.200.000),-,(292.233.213),(370.433.213),,-78200000.0,,-292233213.0,-370433213.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(35.321.000),-,-,(35.321.000),,-35321000.0,,,-35321000.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.063.056.462,39.961.223.757,3.710.435.317,2.878.506.588,47.613.222.124,1063056462.0,39961223757.0,3710435317.0,2878506588.0,47613222124.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,508.534.822,3.111.369.769,2.123.535.909,352.098.291,6.095.538.791,508534822.0,3111369769.0,2123535909.0,352098291.0,6095538791.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,246.602.938,3.705.530.299,1.416.329.700,81.366.820,5.449.829.757,246602938.0,3705530299.0,1416329700.0,81366820.0,5449829757.0
