row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,2016 VND,2015 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__2016 VND,numeric__2015 VND
I.,I.,I.,"Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,
1.,I. > 1.,1.,Tiền thu bán chứng khoán môi giới cho khách hàng,01,40.760.623.833.390,31.431.241.855.600,,1.0,40760623833390.0,31431241855600.0
2.,I. > 2.,2.,Tiền chi mua chứng khoán môi giới cho khách hàng,02,(40.692.851.526.114),(31.394.796.763.461),,2.0,-40692851526114.0,-31394796763461.0
11.,I. > 11.,11.,Chi trả phí lưu ký chứng khoán của khách hàng,11,(6.123.022.871),(5.168.298.390),,11.0,-6123022871.0,-5168298390.0
14.,I. > 14.,14.,Tiền thu của Tổ chức phát hành chứng khoán,14,467.766.449.516,371.358.991.482,,14.0,467766449516.0,371358991482.0
15.,I. > 15.,15.,Tiền chi trả Tổ chức phát hành chứng khoán,15,(465.992.775.281),(362.950.171.591),,15.0,-465992775281.0,-362950171591.0
,,,Tăng tiền thuần trong năm,20,63.422.958.640,39.685.613.640,,20.0,63422958640.0,39685613640.0
II.,I. > II.,II.,Tiền và các khoản tương đương tiền đầu năm của khách hàng,30,588.851.007.506,549.733.318.181,,30.0,588851007506.0,549733318181.0
II.,I. > II.,II.,Tiền gửi ngân hàng đầu năm:,31,588.851.007.506,549.733.318.181,,31.0,588851007506.0,549733318181.0
II.,I. > II.,II.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,32,531.240.245.780,548.918.154.100,,32.0,531240245780.0,548918154100.0
II.,I. > II.,II.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,33,55.512.030.988,-,,33.0,55512030988.0,
II.,I. > II.,II.,- Tiền gửi của Tổ chức phát hành,35,2.098.730.738,815.164.081,,35.0,2098730738.0,815164081.0
III.,I. > III.,III.,Tiền và các khoản tương đương tiền cuối năm của khách hàng,40,652.273.966.146,588.851.007.506,,40.0,652273966146.0,588851007506.0
III.,I. > III.,III.,Tiền gửi ngân hàng cuối năm:,41,652.273.966.146,588.851.007.506,,41.0,652273966146.0,588851007506.0
III.,I. > III.,III.,- Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,42,627.098.409.624,531.240.245.780,,42.0,627098409624.0,531240245780.0
III.,I. > III.,III.,- Tiền gửi tổng hợp giao dịch chứng khoán cho khách hàng,43,21.303.151.549,-,,43.0,21303151549.0,
III.,I. > III.,III.,- Tiền gửi bù trừ và thanh toán giao dịch chứng khoán,44,-,55.512.030.988,,44.0,,55512030988.0
III.,I. > III.,III.,- Tiền gửi của Tổ chức phát hành,45,3.872.404.973,2.098.730.738,,45.0,3872404973.0,2098730738.0
