row_label_raw,row_label_full,col_0,Hoạt động môi giới chứng khoán và cho vay,Hoạt động môi giới chứng khoán và cho vay_1,Hoạt động tự doanh chứng khoán,Hoạt động tự doanh chứng khoán_1,Hoạt động tư vấn đầu tư,Hoạt động tư vấn đầu tư_1,Các hoạt động khác,Các hoạt động khác_1,Hợp nhất,Hợp nhất_1,numeric__Hoạt động môi giới chứng khoán và cho vay,numeric__Hoạt động môi giới chứng khoán và cho vay_1,numeric__Hoạt động tự doanh chứng khoán,numeric__Hoạt động tự doanh chứng khoán_1,numeric__Hoạt động tư vấn đầu tư,numeric__Hoạt động tư vấn đầu tư_1,numeric__Các hoạt động khác,numeric__Các hoạt động khác_1,numeric__Hợp nhất,numeric__Hợp nhất_1
,,,2016 VND,2015 VND,2016 VND,2015 VND,2016 VND,2015 VND,2016 VND,2015 VND,2016 VND,2015 VND,,,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,
- Lãi từ các TSTC FVTPL,Doanh thu > - Lãi từ các TSTC FVTPL,- Lãi từ các TSTC FVTPL,-,-,42.664.417.696,102.484.246.308,-,-,-,-,42.664.417.696,102.484.246.308,,,42664417696.0,102484246308.0,,,,,42664417696.0,102484246308.0
- Lãi từ các khoản đầu tưHTM,Doanh thu > - Lãi từ các khoản đầu tưHTM,- Lãi từ các khoản đầu tưHTM,-,-,10.993.252.126,8.370.896.053,-,-,-,-,10.993.252.126,8.370.896.053,,,10993252126.0,8370896053.0,,,,,10993252126.0,8370896053.0
- Lãi từ các khoản chovay và phải thu,Doanh thu > - Lãi từ các khoản chovay và phải thu,- Lãi từ các khoản chovay và phải thu,190.502.588.293,108.547.201.903,-,-,-,-,-,-,190.502.588.293,108.547.201.903,190502588293.0,108547201903.0,,,,,,,190502588293.0,108547201903.0
- Lãi từ các TSTC AFS,Doanh thu > - Lãi từ các TSTC AFS,- Lãi từ các TSTC AFS,-,-,6.188.934.085,2.825.094.017,-,-,-,-,6.188.934.085,2.825.094.017,,,6188934085.0,2825094017.0,,,,,6188934085.0,2825094017.0
- Doanh thu môi giớichứng khoán,Doanh thu > - Doanh thu môi giớichứng khoán,- Doanh thu môi giớichứng khoán,149.051.553.582,110.750.712.490,-,-,-,-,-,-,149.051.553.582,110.750.712.490,149051553582.0,110750712490.0,,,,,,,149051553582.0,110750712490.0
"- Doanh thu bảo lãnh, đạilý phát hành chứng khoán","Doanh thu > - Doanh thu bảo lãnh, đạilý phát hành chứng khoán","- Doanh thu bảo lãnh, đạilý phát hành chứng khoán",-,-,-,-,1.012.193.119,65.280.201,-,-,1.012.193.119,65.280.201,,,,,1012193119.0,65280201.0,,,1012193119.0,65280201.0
- Doanh thu tư vấn đầu tưchứng khoán,Doanh thu > - Doanh thu tư vấn đầu tưchứng khoán,- Doanh thu tư vấn đầu tưchứng khoán,-,-,-,-,90.909.091,-,,,90.909.091,-,,,,,90909091.0,,,,90909091.0,
- Doanh thu lưu ký chứngkhoán,Doanh thu > - Doanh thu lưu ký chứngkhoán,- Doanh thu lưu ký chứngkhoán,-,-,-,-,-,-,7.457.943.114,6.822.707.637,7.457.943.114,6.822.707.637,,,,,,,7457943114.0,6822707637.0,7457943114.0,6822707637.0
- Doanh thu tư vấn đầu tưtài chính,Doanh thu > - Doanh thu tư vấn đầu tưtài chính,- Doanh thu tư vấn đầu tưtài chính,-,-,-,-,46.328.863.636,6.495.318.180,-,-,46.328.863.636,6.495.318.180,,,,,46328863636.0,6495318180.0,,,46328863636.0,6495318180.0
- Doanh thu từ hoạt độngtài chính,Doanh thu > - Doanh thu từ hoạt độngtài chính,- Doanh thu từ hoạt độngtài chính,-,-,-,-,-,-,2.083.690.733,591.371.776,2.083.690.733,591.371.776,,,,,,,2083690733.0,591371776.0,2083690733.0,591371776.0
- Thu nhập hoạt độngkhác,Doanh thu > - Thu nhập hoạt độngkhác,- Thu nhập hoạt độngkhác,-,-,-,-,-,-,57.307.901.132,43.777.336.041,57.307.901.132,43.777.336.041,,,,,,,57307901132.0,43777336041.0,57307901132.0,43777336041.0
