row_label_raw,row_label_full,2015,Giá trị phải thu khó đòi > VND,Số đầu năm > VND,Trích lập/ (Hoàn nhập) trong năm > VND,Sử dụng dự phòng > VND,Số cuối năm > VND,numeric__Giá trị phải thu khó đòi > VND,numeric__Số đầu năm > VND,numeric__Trích lập/ (Hoàn nhập) trong năm > VND,numeric__Sử dụng dự phòng > VND,numeric__Số cuối năm > VND
Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,Phải thu các dịch vụ cung cấp,,,,,
Phải thu từ các thoả thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu các dịch vụ cung cấp > Phải thu từ các thoả thuận hỗ trợ tài chính cho nhà đầu tư,Phải thu từ các thoả thuận hỗ trợ tài chính cho nhà đầu tư,179.856.392.525,57.212.149.499,59.344.479.840,(152.931.782),116.403.697.557,179856392525.0,57212149499.0,59344479840.0,-152931782.0,116403697557.0
Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu các dịch vụ cung cấp > Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,Phải thu hợp đồng ủy thác và hợp tác kinh doanh chứng khoán,362.833.919.399,11.162.817.750,2.209.453.550,-,13.372.271.300,362833919399.0,11162817750.0,2209453550.0,,13372271300.0
Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu các dịch vụ cung cấp > Phải thu theo các cam kết mua và bán lại chứng khoán,Phải thu theo các cam kết mua và bán lại chứng khoán,46.143.204.449,88.992.292.410,(42.849.087.961),-,46.143.204.449,46143204449.0,88992292410.0,-42849087961.0,,46143204449.0
Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu các dịch vụ cung cấp > Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,Phải thu của khách hàng sử dụng dịch vụ tư vấn tài chính doanh nghiệp,1.373.650.000,812.155.000,98.245.000,-,910.400.000,1373650000.0,812155000.0,98245000.0,,910400000.0
Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu các dịch vụ cung cấp > Phải thu của khách hàng sử dụng dịch vụ khác,Phải thu của khách hàng sử dụng dịch vụ khác,41.548.163.800,30.979.413.800,1.550.625.000,-,32.530.038.800,41548163800.0,30979413800.0,1550625000.0,,32530038800.0
,,,631.755.330.173,189.158.828.459,20.353.715.429,(152.931.782),209.359.612.106,631755330173.0,189158828459.0,20353715429.0,-152931782.0,209359612106.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,,,,
Lãi dự thu,Các khoản phải thu khác > Lãi dự thu,Lãi dự thu,252.426.417.541,214.328.364.831,28.472.897.323,(11.350.262.704),231.450.999.450,252426417541.0,214328364831.0,28472897323.0,-11350262704.0,231450999450.0
Phải thu khác,Các khoản phải thu khác > Phải thu khác,Phải thu khác,74.958.582.025,11.221.213.844,-,-,11.221.213.844,74958582025.0,11221213844.0,,,11221213844.0
,,,327.384.999.566,225.549.578.675,28.472.897.323,(11.350.262.704),242.672.213.294,327384999566.0,225549578675.0,28472897323.0,-11350262704.0,242672213294.0
,,,959.140.329.739,414.708.407.134,48.826.612.752,(11.503.194.486),452.031.825.400,959140329739.0,414708407134.0,48826612752.0,-11503194486.0,452031825400.0
