row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND(phân loại lại),numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND(phân loại lại)
I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1. Lợi nhuận trước thuế thu nhập doanh nghiệp,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế thu nhập doanh nghiệp,1. Lợi nhuận trước thuế thu nhập doanh nghiệp,01,,16.817.984.944,9.394.817.449,1.0,,16817984944.0,9394817449.0
2. Điều chỉnh cho các khoản:,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,02,,72.135.105.403,52.547.157.092,2.0,,72135105403.0,52547157092.0
- Khấu hao tài sản cố định,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - Khấu hao tài sản cố định,- Khấu hao tài sản cố định,03,,4.249.075.175,3.720.544.340,3.0,,4249075175.0,3720544340.0
- Các khoản dự phòng,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - Các khoản dự phòng,- Các khoản dự phòng,04,,67.886.030.228,48.826.612.752,4.0,,67886030228.0,48826612752.0
3. Tăng các chi phí phi tiền tệ,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 3. Tăng các chi phí phi tiền tệ,3. Tăng các chi phí phi tiền tệ,10,,-,55.121.572.974,10.0,,,55121572974.0
- Lỗ đánh giá lại giá trị các TSTC FVTPL,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - Lỗ đánh giá lại giá trị các TSTC FVTPL,- Lỗ đánh giá lại giá trị các TSTC FVTPL,11,,-,55.121.572.974,11.0,,,55121572974.0
4. Giảm các doanh thu phi tiền tệ,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 4. Giảm các doanh thu phi tiền tệ,4. Giảm các doanh thu phi tiền tệ,18,,(6.031.308.873),-,18.0,,-6031308873.0,
- Lãi đánh giá lại giá trị các TSTC FVTPL,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - Lãi đánh giá lại giá trị các TSTC FVTPL,- Lãi đánh giá lại giá trị các TSTC FVTPL,19,,(6.031.308.873),-,19.0,,-6031308873.0,
5. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 5. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,5. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,30,,82.921.781.474,117.063.547.515,30.0,,82921781474.0,117063547515.0
- Giảm TSTC FVTPL,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - Giảm TSTC FVTPL,- Giảm TSTC FVTPL,31,,114.326.180.981,16.395.015.869,31.0,,114326180981.0,16395015869.0
- (Tăng)/giảm các khoản đầu tư HTM,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > - (Tăng)/giảm các khoản đầu tư HTM,- (Tăng)/giảm các khoản đầu tư HTM,32,,(83.782.249.920),10.112.708.670,32.0,,-83782249920.0,10112708670.0
