row_label_raw,row_label_full,col_0,Mã số,2015(phân loại lại)VND,2015(theo báo cáotrước đây)VND,numeric__Mã số,numeric__2015(phân loại lại)VND,numeric__2015(theo báo cáotrước đây)VND
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,04,48.826.612.752,103.948.185.726,4.0,48826612752.0,103948185726.0
Lỗ đánh giá lại giá trị các TSTC FVTPL,Lỗ đánh giá lại giá trị các TSTC FVTPL,Lỗ đánh giá lại giá trị các TSTC FVTPL,11,55.121.572.974,-,11.0,55121572974.0,
Lãi thuần từ hoạt động đầu tư,Lãi thuần từ hoạt động đầu tư,Lãi thuần từ hoạt động đầu tư,,-,(85.262.933.254),,,-85262933254.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,,-,86.117.776.530,,,86117776530.0
Tăng giảm các khoản phải thu,Tăng giảm các khoản phải thu,Tăng giảm các khoản phải thu,,-,(392.683.551.027),,,-392683551027.0
Giảm các khoản phải trả,Giảm các khoản phải trả,Giảm các khoản phải trả,,-,(21.962.915.941),,,-21962915941.0
Tăng/(giảm) TSTC FVTPL,Tăng/(giảm) TSTC FVTPL,Tăng/(giảm) TSTC FVTPL,31,16.395.015.869,-,31.0,16395015869.0,
(Tăng)/giảm các khoản đầu tư HTM,(Tăng)/giảm các khoản đầu tư HTM,(Tăng)/giảm các khoản đầu tư HTM,32,10.112.708.670,,32.0,10112708670.0,
Tăng/(giảm) các khoản cho vay,Tăng/(giảm) các khoản cho vay,Tăng/(giảm) các khoản cho vay,33,(470.288.596.328),-,33.0,-470288596328.0,
Tăng/(giảm) TSTC AFS,Tăng/(giảm) TSTC AFS,Tăng/(giảm) TSTC AFS,34,78.497.509.450,-,34.0,78497509450.0,
Tăng/(giảm) phải thu bán các TSTC,Tăng/(giảm) phải thu bán các TSTC,Tăng/(giảm) phải thu bán các TSTC,35,(732.484.714),-,35.0,-732484714.0,
Giảm/(tăng) các khoản phải thu các dịch vụ CTCK cung cấp,Giảm/(tăng) các khoản phải thu các dịch vụ CTCK cung cấp,Giảm/(tăng) các khoản phải thu các dịch vụ CTCK cung cấp,43,67.104.815.293,-,43.0,67104815293.0,
Giảm/(tăng) các khoản phải thu khác,Giảm/(tăng) các khoản phải thu khác,Giảm/(tăng) các khoản phải thu khác,39,(14.452.038.722),-,39.0,-14452038722.0,
Tăng/(giảm) các tài sản khác,Tăng/(giảm) các tài sản khác,Tăng/(giảm) các tài sản khác,40,(12.728.637.028),-,40.0,-12728637028.0,
Tăng/(giảm) chi phí phải trả (không bao gồmchi phí lãi vay),Tăng/(giảm) chi phí phải trả (không bao gồmchi phí lãi vay),Tăng/(giảm) chi phí phải trả (không bao gồmchi phí lãi vay),41,29.959.065.937,-,41.0,29959065937.0,
Tăng/(giảm) chi phí trả trước,Tăng/(giảm) chi phí trả trước,Tăng/(giảm) chi phí trả trước,42,4.912.400.896,4.913.400.896,42.0,4912400896.0,4913400896.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,44,(32.617.420.213),(70.097.522.306),44.0,-32617420213.0,-70097522306.0
