row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND (phân loại lại),numeric__Chỉ tiêu,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND (phân loại lại)
,,,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,
A.,A.,A.,TÀI SẢN NGẮN HẠN(100 = 110 + 130),100,,3.322.351.122.795,2.457.696.612.638,,100.0,,3322351122795.0,2457696612638.0
I.,I.,I.,Tài sản tài chính (“TSTC”),110,,3.299.128.277.058,2.437.185.187.606,,110.0,,3299128277058.0,2437185187606.0
1.,1.,1.,Tiền và các khoản tương đương tiền,111,7,293.049.710.838,256.987.629.168,,111.0,7.0,293049710838.0,256987629168.0
1.1.,1.1.,1.1.,Tiền,111.1,,293.049.710.838,231.782.337.168,,1111.0,,293049710838.0,231782337168.0
1.2.,1.2.,1.2.,Các khoản tương đương tiền,111.2,,-,25.205.292.000,,1112.0,,,25205292000.0
2.,2.,2.,Các TSTC ghi nhận thông qua lãi/lỗ (“FVTPL”),112,9(a),325.437.673.032,439.763.854.013,,112.0,,325437673032.0,439763854013.0
3.,3.,3.,Các khoản đầu tư nắm giữ đến ngày đáo hạn (“HTM”),113,9(b),60.999.039.025,78.216.789.105,,113.0,,60999039025.0,78216789105.0
4.,4.,4.,Các khoản cho vay,114,9(c),2.019.375.587.655,1.097.885.600.756,,114.0,,2019375587655.0,1097885600756.0
5.,5.,5.,TSTC sẵn sàng để bán (“AFS”),115,9(d),313.915.559.574,202.897.907.399,,115.0,,313915559574.0,202897907399.0
6.,6.,6.,Dự phòng suy giảm giá trị các TSTC,116,10,(143.731.791.087),(149.763.099.960),,116.0,10.0,-143731791087.0,-149763099960.0
7.,7.,7.,Các khoản phải thu,117,,21.740.185.570,2.750.083.386,,117.0,,21740185570.0,2750083386.0
7.1,7.1,7.1,Phải thu bán các TSTC,117.1,,12.600.000.000,-,,1171.0,,12600000000.0,
7.2.,7.2.,7.2.,"Phải thu và dự thu cổ tức, tiền lãi các TSTC",117.2,,9.140.185.570,2.750.083.386,,1172.0,,9140185570.0,2750083386.0
7.2.1.,7.2.1.,7.2.1.,"Phải thu cổ tức, tiền lãi đến ngày nhận",117.3,,3.156.974.991,1.915.138.641,,1173.0,,3156974991.0,1915138641.0
7.2.2.,7.2.2.,7.2.2.,"Dự thu cổ tức, tiền lãi chưa đến ngày nhận",117.4,,5.983.210.579,834.944.745,,1174.0,,5983210579.0,834944745.0
8.,8.,8.,Trả trước cho người bán,118,,1.489.970.079,1.337.919.400,,118.0,,1489970079.0,1337919400.0
9.,9.,9.,Phải thu các dịch vụ CTCK cung cấp,119,11,597.560.497.382,631.755.330.173,,119.0,11.0,597560497382.0,631755330173.0
12.,12.,12.,Các khoản phải thu khác,122,12,322.649.155.962,327.384.999.566,,122.0,12.0,322649155962.0,327384999566.0
13.,13.,13.,Dự phòng suy giảm giá trị các khoản phải thu,129,13,(513.357.310.972),(452.031.825.400),,129.0,13.0,-513357310972.0,-452031825400.0
II.,II.,II.,Tài sản ngắn hạn khác,130,,23.222.845.737,20.511.425.032,,130.0,,23222845737.0,20511425032.0
1.,1.,1.,Tạm ứng,131,,1.684.390.000,1.231.190.000,,131.0,,1684390000.0,1231190000.0
2.,2.,2.,"Vật tư văn phòng, công cụ, dụng cụ",132,,962.262.149,302.279.407,,132.0,,962262149.0,302279407.0
3.,3.,3.,Chi phí trả trước ngắn hạn,133,,4.557.057.906,3.548.575.503,,133.0,,4557057906.0,3548575503.0
4.,4.,4.,"Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn",134,,15.064.000.000,15.053.000.000,,134.0,,15064000000.0,15053000000.0
6.,6.,6.,Thuế và các khoản phải thu Nhà nước,136,,381.640.710,-,,136.0,,381640710.0,
7.,7.,7.,Tài sản ngắn hạn khác,137,,573.494.972,376.380.122,,137.0,,573494972.0,376380122.0
