row_label_raw,row_label_full,col_0,Số dư tại ngày > 31/12/2016 Phải thu/(Phải trả) VND,Số dư tại ngày > 31/12/2015 Phải thu/(Phải trả) VND,numeric__Số dư tại ngày > 31/12/2016 Phải thu/(Phải trả) VND,numeric__Số dư tại ngày > 31/12/2015 Phải thu/(Phải trả) VND
Ngân hàng TMCP Quân đội (Ngân hàng mẹ),Ngân hàng TMCP Quân đội (Ngân hàng mẹ),Ngân hàng TMCP Quân đội (Ngân hàng mẹ),,,,
Tiền gửi thanh toán,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Tiền gửi thanh toán,Tiền gửi thanh toán,161.043.084.316,136.147.595.524,161043084316.0,136147595524.0
Phải thu phí dịch vụ,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Phải thu phí dịch vụ,Phải thu phí dịch vụ,532.144.972,353.650.000,532144972.0,353650000.0
Ủy thác góp vốn đầu tư dài hạn,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Ủy thác góp vốn đầu tư dài hạn,Ủy thác góp vốn đầu tư dài hạn,3.000.000.000,3.000.000.000,3000000000.0,3000000000.0
Phải trả tiền thuê văn phòng và phải trả khác,Ngân hàng TMCP Quân đội (Ngân hàng mẹ) > Phải trả tiền thuê văn phòng và phải trả khác,Phải trả tiền thuê văn phòng và phải trả khác,(605.000.000),(335.336.653),-605000000.0,-335336653.0
Công ty TNHH Quản lý Nợ và Khai thác Tài sản – Ngân hàng TMCP Quân đội (Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý Nợ và Khai thác Tài sản – Ngân hàng TMCP Quân đội (Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý Nợ và Khai thác Tài sản – Ngân hàng TMCP Quân đội (Công ty con của Ngân hàng mẹ),,,,
Phải trả tiền thuê nhà,Công ty TNHH Quản lý Nợ và Khai thác Tài sản – Ngân hàng TMCP Quân đội (Công ty con của Ngân hàng mẹ) > Phải trả tiền thuê nhà,Phải trả tiền thuê nhà,-,(263.814.313),,-263814313.0
Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ),,,,
Nhận tiền gửi giao dịch chứng khoán,Công ty Cổ phần Quản lý Quỹ Đầu tư MB (Công ty con của Ngân hàng mẹ) > Nhận tiền gửi giao dịch chứng khoán,Nhận tiền gửi giao dịch chứng khoán,(395.525.632),(15.446.128.946),-395525632.0,-15446128946.0
