row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2016 VND,2015 VND(phân loại lại),numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND(phân loại lại)
II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"1. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản khác","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản khác","1. Tiền chỉ để mua sắm, xây dựng tài sản cố định và các tài sản khác",61,,(11.223.744.730),(2.885.469.280),61.0,,-11223744730.0,-2885469280.0
"2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản khác","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản khác","2. Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản khác",62,,1.179.632,31.472.727,62.0,,1179632.0,31472727.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,70,,(11.222.565.098),(2.853.996.553),70.0,,-11222565098.0,-2853996553.0
III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
"2. Tiền chỉ trả vốn góp cho chủ sở hữu, mua lại cổ phiếu phát hành","III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền chỉ trả vốn góp cho chủ sở hữu, mua lại cổ phiếu phát hành","2. Tiền chỉ trả vốn góp cho chủ sở hữu, mua lại cổ phiếu phát hành",72,,(4.785.700),-,72.0,,-4785700.0,
3. Tiền vay gốc,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền vay gốc,3. Tiền vay gốc,73,,735.465.964.046,899.814.541.328,73.0,,735465964046.0,899814541328.0
3.2. Tiền vay khác,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.2. Tiền vay khác,3.2. Tiền vay khác,73.2,,735.465.964.046,899.814.541.328,732.0,,735465964046.0,899814541328.0
4. Tiền chỉ trả nợ gốc vay,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền chỉ trả nợ gốc vay,4. Tiền chỉ trả nợ gốc vay,74,,(675.668.112.360),(834.000.000.000),74.0,,-675668112360.0,-834000000000.0
4.3. Tiền chỉ trả gốc vay khác,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.3. Tiền chỉ trả gốc vay khác,4.3. Tiền chỉ trả gốc vay khác,74.3,,(675.668.112.360),(834.000.000.000),743.0,,-675668112360.0,-834000000000.0
