row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND (phân loại lại),numeric__Chỉ tiêu,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND (phân loại lại)
C.,C.,C.,NỘ PHẢI TRẢ(300 = 310 + 340),300,,2.194.292.794.895,1.238.599.299.069,,300.0,,2194292794895.0,1238599299069.0
I.,I.,I.,Nợ phải trả ngắn hạn,310,,1.864.754.475.140,872.089.023.798,,310.0,,1864754475140.0,872089023798.0
1.,1.,1.,Vay và nợ thuê tài chính ngắn hạn,311,,399.797.851.686,300.000.000.000,,311.0,,399797851686.0,300000000000.0
1.1.,1.1.,1.1.,Vay ngắn hạn,312,17,399.797.851.686,300.000.000.000,,312.0,17.0,399797851686.0,300000000000.0
6.,6.,6.,Phải trả hoạt động giao dịch chứng khoán,318,18,2.967.033.320,2.470.442.418,,318.0,18.0,2967033320.0,2470442418.0
8.,8.,8.,Phải trả người bán ngắn hạn,320,,3.402.175.244,3.518.864.930,,320.0,,3402175244.0,3518864930.0
9.,9.,9.,Người mua trả tiền trước ngắn hạn,321,,1.554.002.000,1.537.002.000,,321.0,,1554002000.0,1537002000.0
10.,10.,10.,Thuế và các khoản phải nộp Nhà nước,322,19,7.360.455.262,4.493.348.535,,322.0,19.0,7360455262.0,4493348535.0
11.,11.,11.,Phải trả người lao động,323,,1.249.318.234,1.376.798.030,,323.0,,1249318234.0,1376798030.0
12.,12.,12.,Các khoản trích nộp phúc lợi nhân viên,324,,1.260.527.299,1.084.031.124,,324.0,,1260527299.0,1084031124.0
13.,13.,13.,Chi phí phải trả ngắn hạn,325,20,34.956.726.087,22.293.974.120,,325.0,20.0,34956726087.0,22293974120.0
15,15,15,Doanh thu chưa thực hiện ngắn hạn,327,,447.022.592,-,,327.0,,447022592.0,
16.,16.,16.,"Nhận ký quỹ, ký cược ngắn hạn",328,21,1.394.080.117.957,517.593.829.443,,328.0,21.0,1394080117957.0,517593829443.0
17.,17.,17.,"Các khoản phải trả, phải nộp khác ngắn hạn",329,,16.817.949.403,13.917.661.585,,329.0,,16817949403.0,13917661585.0
19.,19.,19.,"Quỹ khen thưởng, phúc lợi",331,,861.296.056,3.803.071.613,,331.0,,861296056.0,3803071613.0
II.,II.,II.,Nợ phải trả dài hạn,340,,329.538.319.755,366.510.275.271,,340.0,,329538319755.0,366510275271.0
4.,4.,4.,Trái phiếu phát hành dài hạn,346,22,329.290.754.255,365.814.541.328,,346.0,22.0,329290754255.0,365814541328.0
10.,10.,10.,"Nhận ký quỹ, ký cược dài hạn",352,,247.565.500,695.733.943,,352.0,,247565500.0,695733943.0
D.,D.,D.,VỐN CHỦ SỞ HỮU(400 = 410),400,,1.324.176.923.911,1.308.683.749.110,,400.0,,1324176923911.0,1308683749110.0
I.,I.,I.,Vốn chủ sở hữu,410,,1.324.176.923.911,1.308.683.749.110,,410.0,,1324176923911.0,1308683749110.0
1.,1.,1.,Vốn đầu tư của chủ sở hữu,411,,1.221.238.014.300,1.221.242.800.000,,411.0,,1221238014300.0,1221242800000.0
1.1.,1.1.,1.1.,Vốn góp của chủ sở hữu,411.1,,1.221.242.800.000,1.221.242.800.000,,4111.0,,1221242800000.0,1221242800000.0
a.,a.,a.,Cổ phiếu phổ thông có quyền biểu quyết,411.1a,,1.221.242.800.000,1.221.242.800.000,,,,1221242800000.0,1221242800000.0
1.5.,1.5.,1.5.,Cổ phiếu quỹ,411.5,,(4.785.700),-,,4115.0,,-4785700.0,
4.,4.,4.,Quỹ dự trữ bổ sung vốn điều lệ,414,,4.996.355.740,4.163.663.493,,414.0,,4996355740.0,4163663493.0
5.,5.,5.,Quỹ dự phòng tài chính và rủi ro nghiệp vụ,415,,4.986.371.640,4.153.679.393,,415.0,,4986371640.0,4153679393.0
7.,7.,7.,Lợi nhuận chưa phân phối,417,,92.956.182.231,79.123.606.224,,417.0,,92956182231.0,79123606224.0
7.1.,7.1.,7.1.,Lợi nhuận sau thuế đã thực hiện,417.1,,92.956.182.231,79.123.606.224,,4171.0,,92956182231.0,79123606224.0
,,,TỔNG CỘNG NỘ VÀVỐN CHỦ SỞ HỮU(440 = 300 + 400),440,,3.518.469.718.806,2.547.283.048.179,,440.0,,3518469718806.0,2547283048179.0
