row_label_raw,row_label_full,col_0,Giá trị giao dịchThu nhập/(chi phí),Giá trị giao dịchThu nhập/(chi phí)_1,numeric__Giá trị giao dịchThu nhập/(chi phí),numeric__Giá trị giao dịchThu nhập/(chi phí)_1
,,,2016VND,2015VND,,
Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),Ngân hàng TMCP Quân đội(Ngân hàng mẹ),,
Thu lãi tiền gửi,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu lãi tiền gửi,Thu lãi tiền gửi,369.580.255,406.477.178,369580255.0,406477178.0
Thu phí tư vấn,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí tư vấn,Thu phí tư vấn,-,250.000.000,,250000000.0
Thu phí quản lý tài sản,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí quản lý tài sản,Thu phí quản lý tài sản,-,6.475.574.095,,6475574095.0
Thu phí quản lý cổ đông,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Thu phí quản lý cổ đông,Thu phí quản lý cổ đông,300.000.000,240.000.000,300000000.0,240000000.0
Doanh thu cho thuê văn phòng,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,654.926.291,-,654926291.0,
Chi phí đại lý nhận lệnh và thuê văn phòng,Ngân hàng TMCP Quân đội(Ngân hàng mẹ) > Chi phí đại lý nhận lệnh và thuê văn phòng,Chi phí đại lý nhận lệnh và thuê văn phòng,(881.400.000),(1.635.087.431),-881400000.0,-1635087431.0
Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ),,
Thu phí giao dịch chứng khoán,Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ) > Thu phí giao dịch chứng khoán,Thu phí giao dịch chứng khoán,355.282.240,634.415.429,355282240.0,634415429.0
Doanh thu cổ tức,Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ) > Doanh thu cổ tức,Doanh thu cổ tức,-,299.500.000,,299500000.0
Phí tư vấn,Công ty Cổ phần Quản lý Quỹ đầu tư MB(Công ty con của Ngân hàng mẹ) > Phí tư vấn,Phí tư vấn,(167.795.713),(365.251.907),-167795713.0,-365251907.0
Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ),,
Chi phí thuê văn phòng,Công ty Cổ phần Địa ốc MB(Công ty con của Ngân hàng mẹ) > Chi phí thuê văn phòng,Chi phí thuê văn phòng,(636.994.800),(678.456.000),-636994800.0,-678456000.0
