row_label_raw,row_label_full,col_0,col_1,Mã số,Thuyết minh,2016 VND,2015 VND (phân loại lại),numeric__col_1,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND (phân loại lại)
VIII.,VIII.,VIII.,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,
8.1.,VIII. > 8.1.,8.1.,Thu nhập khác,71,,1.051.818.182,649.034.233,,71.0,,1051818182.0,649034233.0
8.2.,VIII. > 8.2.,8.2.,Chi phí khác,72,,591.781.899,1.400.000,,72.0,,591781899.0,1400000.0
,,,Cộng kết quả hoạt động khác(80 = 71-72),80,,460.036.283,647.634.233,,80.0,,460036283.0,647634233.0
IX.,VIII. > IX.,IX.,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ (90=70 + 80),90,,16.817.984.944,9.394.817.449,,90.0,,16817984944.0,9394817449.0
9.1.,VIII. > 9.1.,9.1.,Lợi nhuận đã thực hiện,91,,16.817.984.944,9.394.817.449,,91.0,,16817984944.0,9394817449.0
X.,VIII. > X.,X.,CHI PHÍ THUẾ TNDN,100,,164.140.000,1.138.500.000,,100.0,,164140000.0,1138500000.0
10.1.,VIII. > 10.1.,10.1.,Chi phí thuế TNDN hiện hành,100.1,29,-,-,,1001.0,29.0,,
10.2.,VIII. > 10.2.,10.2.,Chi phí thuế TNDN hoãn lại,100.2,29,164.140.000,1.138.500.000,,1002.0,29.0,164140000.0,1138500000.0
XI.,VIII. > XI.,XI.,LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN (200 = 90 - 100),200,,16.653.844.944,8.256.317.449,,200.0,,16653844944.0,8256317449.0
XIII.,VIII. > XIII.,XIII.,THU NHẬP THUÀN TRÊN CỔ PHIỂU PHÒ THÔNG,500,,16.653.844.944,8.256.317.449,,500.0,,16653844944.0,8256317449.0
13.1.,VIII. > 13.1.,13.1.,Lãi cơ bản trên cổ phiếu (VND/1 cổ phiếu) (điều chỉnh lại),501,30,136,58,,501.0,30.0,136.0,58.0
