row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.309.659.400,43.666.754.056,5.126.765.017,2.959.873.408,53.063.051.881,1309659400.0,43666754056.0,5126765017.0,2959873408.0,53063051881.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,8.650.584.730,2.050.560.000,-,10.701.144.730,,8650584730.0,2050560000.0,,10701144730.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(3.425.194.768),(2.238.662.510),(337.266.082),(6.001.123.360),,-3425194768.0,-2238662510.0,-337266082.0,-6001123360.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.309.659.400,48.892.144.018,4.938.662.507,2.622.607.326,57.763.073.251,1309659400.0,48892144018.0,4938662507.0,2622607326.0,57763073251.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.063.056.462,39.961.223.757,3.710.435.317,2.878.506.588,47.613.222.124,1063056462.0,39961223757.0,3710435317.0,2878506588.0,47613222124.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,240.669.324,3.095.675.542,660.462.384,66.395.703,4.063.202.953,240669324.0,3095675542.0,660462384.0,66395703.0,4063202953.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(3.425.194.768),(2.238.662.510),(336.086.450),(5.999.943.728),,-3425194768.0,-2238662510.0,-336086450.0,-5999943728.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.303.725.786,39.631.704.531,2.132.235.191,2.608.815.841,45.676.481.349,1303725786.0,39631704531.0,2132235191.0,2608815841.0,45676481349.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,246.602.938,3.705.530.299,1.416.329.700,81.366.820,5.449.829.757,246602938.0,3705530299.0,1416329700.0,81366820.0,5449829757.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.933.614,9.260.439.487,2.806.427.316,13.791.485,12.086.591.902,5933614.0,9260439487.0,2806427316.0,13791485.0,12086591902.0
