row_label_raw,row_label_full,col_0,Chỉ tiêu,Mã số,Thuyết minh,2016 VND,2015 VND(phân loại lại),numeric__Chỉ tiêu,numeric__Mã số,numeric__Thuyết minh,numeric__2016 VND,numeric__2015 VND(phân loại lại)
DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,DOANH THU HOẠT ĐỘNG,,,,,
1.1.,DOANH THU HOẠT ĐỘNG > 1.1.,1.1.,Lãi từ các TSTC ghi nhận thông qua lãi/lỗ (FVTPL),01,,42.664.417.696,102.484.246.308,,1.0,,42664417696.0,102484246308.0
a.,DOANH THU HOẠT ĐỘNG > a.,a.,Lãi bán các TSTC FVTPL,01.1,24(a),30.561.798.566,81.503.470.851,,11.0,,30561798566.0,81503470851.0
c.,DOANH THU HOẠT ĐỘNG > c.,c.,"Cổ tức, tiền lãi phát sinh từ TSTCFVTPL",01.3,,12.102.619.130,20.980.775.457,,13.0,,12102619130.0,20980775457.0
1.2.,DOANH THU HOẠT ĐỘNG > 1.2.,1.2.,Lãi từ các khoản đầu tư nắm giữ đếnngày đáo hạn (HTM),02,,10.993.252.126,8.370.896.053,,2.0,,10993252126.0,8370896053.0
1.3.,DOANH THU HOẠT ĐỘNG > 1.3.,1.3.,Lãi từ các khoản cho vay và phải thu,03,24(b),190.502.588.293,108.547.201.903,,3.0,,190502588293.0,108547201903.0
1.4.,DOANH THU HOẠT ĐỘNG > 1.4.,1.4.,Lãi từ TSTC sẵn sàng để bán (AFS),04,24(c),6.188.934.085,2.825.094.017,,4.0,,6188934085.0,2825094017.0
1.6.,DOANH THU HOẠT ĐỘNG > 1.6.,1.6.,Doanh thu nghiệp vụ môi giớichứng khoán,06,24(d),149.051.553.582,110.750.712.490,,6.0,,149051553582.0,110750712490.0
1.7.,DOANH THU HOẠT ĐỘNG > 1.7.,1.7.,"Doanh thu nghiệp vụ bảo lãnh, đại lýphát hành chứng khoán",07,24(d),1.012.193.119,65.280.201,,7.0,,1012193119.0,65280201.0
1.8.,DOANH THU HOẠT ĐỘNG > 1.8.,1.8.,Doanh thu nghiệp vụ tư vấn đầu turchứng khoán,08,24(d),90.909.091,-,,8.0,,90909091.0,
1.9.,DOANH THU HOẠT ĐỘNG > 1.9.,1.9.,Doanh thu nghiệp vụ lưu ký chứng khoán,09,24(d),7.457.943.114,6.822.707.637,,9.0,,7457943114.0,6822707637.0
1.10.,DOANH THU HOẠT ĐỘNG > 1.10.,1.10.,Doanh thu hoạt động tư vấn tài chính,10,24(d),46.328.863.636,6.495.318.180,,10.0,,46328863636.0,6495318180.0
1.11.,DOANH THU HOẠT ĐỘNG > 1.11.,1.11.,Thu nhập hoạt động khác,11,24(d),57.307.901.132,43.777.336.041,,11.0,,57307901132.0,43777336041.0
Cộng doanh thu hoạt động(20 = 01 → 11),DOANH THU HOẠT ĐỘNG > Cộng doanh thu hoạt động(20 = 01 → 11),Cộng doanh thu hoạt động(20 = 01 → 11),Cộng doanh thu hoạt động(20 = 01 → 11),20,,511.598.555.874,390.138.792.830,,20.0,,511598555874.0,390138792830.0
II.,II.,II.,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,CHI PHÍ HOẠT ĐỘNG,,,,,
2.1.,II. > 2.1.,2.1.,Lỗ các TSTC FVTPL,21,,65.486.205.348,67.090.428.184,,21.0,,65486205348.0,67090428184.0
a.,II. > a.,a.,Lỗ bán các TSTC FVTPL,21.1,25,71.305.142.517,11.682.892.670,,211.0,25.0,71305142517.0,11682892670.0
b.,II. > b.,b.,Chênh lệch giảm đánh giá lại các TSTCFVTPL,21.2,10,(6.031.308.873),55.121.572.974,,212.0,10.0,-6031308873.0,55121572974.0
c.,II. > c.,c.,Chi phí giao dịch mua các TSTC FVTPL,21.3,,212.371.704,285.962.540,,213.0,,212371704.0,285962540.0
2.6.,II. > 2.6.,2.6.,Chi phí hoạt động tự doanh,26,,3.202.590.771,1.649.090.674,,26.0,,3202590771.0,1649090674.0
2.7.,II. > 2.7.,2.7.,Chi phí nghiệp vụ môi giới chứng khoán,27,,152.833.694.005,151.035.010.959,,27.0,,152833694005.0,151035010959.0
2.9.,II. > 2.9.,2.9.,Chi phí nghiệp vụ tư vấn đầu turchứng khoán,29,,20.573.038.946,5.289.133.700,,29.0,,20573038946.0,5289133700.0
2.10.,II. > 2.10.,2.10.,Chi phí nghiệp vụ lưu ký chứng khoán,30,,6.941.734.097,5.698.972.239,,30.0,,6941734097.0,5698972239.0
2.12.,II. > 2.12.,2.12.,Chi phí các dịch vụ khác,32,,67.877.574.502,19.703.393.113,,32.0,,67877574502.0,19703393113.0
Cộng chi phí hoạt động(40 = 21 → 32),II. > Cộng chi phí hoạt động(40 = 21 → 32),Cộng chi phí hoạt động(40 = 21 → 32),Cộng chi phí hoạt động(40 = 21 → 32),40,,316.914.837.669,250.466.028.869,,40.0,,316914837669.0,250466028869.0
