row_label_raw,row_label_full,Phần mềm máy vi tính,2016VND,2015VND,numeric__2016VND,numeric__2015VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.150.151.501,8.150.151.501,8150151501.0,8150151501.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,522.600.000,-,522600000.0,
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(6.661.918.201),-,-6661918201.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.010.833.300,8.150.151.501,2010833300.0,8150151501.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.114.929.276,7.800.320.220,8114929276.0,7800320220.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,185.872.222,314.609.056,185872222.0,314609056.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(6.661.918.201),-,-6661918201.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.638.883.297,8.114.929.276,1638883297.0,8114929276.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,35.222.225,349.831.281,35222225.0,349831281.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,371.950.003,35.222.225,371950003.0,35222225.0
