row_label_raw,row_label_full,col_0,Mã số,1/1/2016VND(phân loại lại),1/1/2016VND(theo báo cáotrước đây),numeric__Mã số,numeric__1/1/2016VND(phân loại lại),numeric__1/1/2016VND(theo báo cáotrước đây)
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,,-,517.980.643.118,,,517980643118.0
Đầu tư chứng khoán dài hạn,Đầu tư chứng khoán dài hạn,Đầu tư chứng khoán dài hạn,,-,199.897.907.399,,,199897907399.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,-,3.000.000.000,,,3000000000.0
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,,-,1.799.162.032.607,,,1799162032607.0
Các TSTC FVTPL,Các TSTC FVTPL,Các TSTC FVTPL,112,439.763.854.013,-,112.0,439763854013.0,
Các khoản đầu tư HTM,Các khoản đầu tư HTM,Các khoản đầu tư HTM,113,78.216.789.105,-,113.0,78216789105.0,
Các TSTC AFS,Các TSTC AFS,Các TSTC AFS,114,202.897.907.399,-,114.0,202897907399.0,
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,115,1.097.885.600.756,-,115.0,1097885600756.0,
Các khoản phải thu từ TSTC,Các khoản phải thu từ TSTC,Các khoản phải thu từ TSTC,117,2.750.083.386,-,117.0,2750083386.0,
Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,119,631.755.330.173,-,119.0,631755330173.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,122,327.384.999.566,260.046.056.959,122.0,327384999566.0,260046056959.0
Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,Phải trả hoạt động giao dịch chứng khoán,318,(2.470.442.418),-,318.0,-2470442418.0,
Các khoản trích nộp phúc lợi nhân viên,Các khoản trích nộp phúc lợi nhân viên,Các khoản trích nộp phúc lợi nhân viên,324,(1.084.031.124),-,324.0,-1084031124.0,
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",328,(517.593.829.443),(519.603.884.153),328.0,-517593829443.0,-519603884153.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",329,(13.917.661.585),(14.894.154.761),329.0,-13917661585.0,-14894154761.0
