row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịvăn phòng,"Cây lâu năm, sùcvật làm việc vàcho sân phẩm",TSCĐ hữu hìnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịvăn phòng,"numeric__Cây lâu năm, sùcvật làm việc vàcho sân phẩm",numeric__TSCĐ hữu hìnhkhác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
"Số đầu năm- Mua trong năm- Chuyển từ đầu tư xây dựng cơ bản sang- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Chuyển từ đầu tư xây dựng cơ bản sang- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Chuyển từ đầu tư xây dựng cơ bản sang- Thanh lý, nhượng bán",551.306.249.390-7.954.398.545(775.955.680),1.589.381.662.59058.812.869.073-7.954.398.545(6.110.847.140),174.277.525.4503.947.655.455- (1.428.413.580),7.044.505.87546.850.000- (1.051.554.141),13.650.983.000- (35.963.000),24.480.146.24679.000.000-,2.360.141.072.55162.886.374.5287.954.398.545(9.402.733.541),,,,,,,
Số cuối năm,"Số đầu năm- Mua trong năm- Chuyển từ đầu tư xây dựng cơ bản sang- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,558.484.692.255,1.642.083.684.523,176.796.767.325,6.039.801.734,13.615.020.000,24.559.146.246,2.421.579.112.083,558484692255.0,1642083684523.0,176796767325.0,6039801734.0,13615020000.0,24559146246.0,2421579112083.0
Trong đó:Dã khấu hao hết,"Số đầu năm- Mua trong năm- Chuyển từ đầu tư xây dựng cơ bản sang- Thanh lý, nhượng bán > Trong đó:Dã khấu hao hết",Trong đó:Dã khấu hao hết,6.194.228.545,114.647.076.030,10.999.266.671,-,787.710.000,225.000.000,132.853.281.246,6194228545.0,114647076030.0,10999266671.0,,787710000.0,225000000.0,132853281246.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán",83.848.746.72928.066.045.314(775.955.680),500.208.997.579149.355.712.612(6.110.847.140),57.391.976.59120.083.977.067(1.428.413.580),3.073.746.083841.521.758(1.051.554.141),5.902.023.072715.004.496(35.963.000),8.409.776.0392.567.511.763-,658.835.266.093201.629.773.010(9.402.733.541),,,,,,,
Số cuối năm,"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán > Số cuối năm",Số cuối năm,111.138.836.363,643.453.863.051,76.047.540.078,2.863.713.700,6.581.064.568,10.977.287.802,851.062.305.562,111138836363.0,643453863051.0,76047540078.0,2863713700.0,6581064568.0,10977287802.0,851062305562.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,467.457.502.661,1.089.172.665.011,116.885.548.859,3.970.759.792,7.748.959.928,16.070.370.207,1.701.305.806.458,467457502661.0,1089172665011.0,116885548859.0,3970759792.0,7748959928.0,16070370207.0,1701305806458.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,447.345.855.892,998.629.821.472,100.749.227.247,3.176.088.034,7.033.955.432,13.581.858.444,1.570.516.806.521,447345855892.0,998629821472.0,100749227247.0,3176088034.0,7033955432.0,13581858444.0,1570516806521.0
Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,Một số tài sản cố định hữu hình với giá trị còn lại là 1.570 tỷ VND của Công ty đã được sử dụng làm tài sản thể chấp cho các khoản vay như được trình bày tại Thuyết minh số 18.,,,,,,,
