row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1),numeric__Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 15.1)
Công ty Cổ phần Liên Vận An Tín,Công ty Cổ phần Liên Vận An Tín,Công ty Cổ phần Liên Vận An Tín,Công ty cùng Tập đoàn,Mua hàng hóa,5.003.301.686,6.248.114.026,,,5003301686.0,6248114026.0
Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty TNHH An Trung Industries,Công ty cùng Tập đoàn,Mua hàng hóa,1.016.770.295,-,,,1016770295.0,
Công ty Cổ Phần An Tiến Industries,Công ty Cổ Phần An Tiến Industries,Công ty Cổ Phần An Tiến Industries,Công ty cùng Tập đoàn,Mua hàng hóa,-,13.128.137.927,,,,13128137927.0
Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty cùng Tập đoàn,Mua hàng hóa,-,14.895.891.012,,,,14895891012.0
"An Thanh Bicsol Singapore Pte., Ltd","An Thanh Bicsol Singapore Pte., Ltd","An Thanh Bicsol Singapore Pte., Ltd",Công ty cùng Tập đoàn,Mua hàng hóa,-,8.584.373.770,,,,8584373770.0
Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,Mua hàng hóa,-,224.838.435,,,,224838435.0
,,,,,6.020.071.981,43.081.355.170,,,6020071981.0,43081355170.0
