row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Công cụ, dụng cụ xuất dùng","Ngắn hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",14.910.220.500,12.473.571.987,14910220500.0,12473571987.0
Chi phí trả trước khác,Ngắn hạn > Chi phí trả trước khác,Chi phí trả trước khác,5.400.993.263,3.353.758.334,5400993263.0,3353758334.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,20.311.213.763,15.827.330.321,20311213763.0,15827330321.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Công cụ, dụng cụ xuất dùng","Dài hạn > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",14.522.567.021,18.893.718.566,14522567021.0,18893718566.0
Chi phí tư vấn phát triển thị trường,Dài hạn > Chi phí tư vấn phát triển thị trường,Chi phí tư vấn phát triển thị trường,3.225.750.000,9.088.127.780,3225750000.0,9088127780.0
Chi phí sửa chữa,Dài hạn > Chi phí sửa chữa,Chi phí sửa chữa,4.377.274.350,7.550.782.677,4377274350.0,7550782677.0
Chi phí trả trước khác,Dài hạn > Chi phí trả trước khác,Chi phí trả trước khác,262.649.112,884.749.295,262649112.0,884749295.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,22.388.240.483,36.417.378.318,22388240483.0,36417378318.0
