row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,78.087.072.029,316.500.000,78.403.572.029,78087072029.0,316500000.0,78403572029.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(32.000.000),(32.000.000),,-32000000.0,-32000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,78.087.072.029,284.500.000,78.371.572.029,78087072029.0,284500000.0,78371572029.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,107.000.000,107.000.000,,107000000.0,107000000.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,7.282.923.994,207.640.225,7.490.564.219,7282923994.0,207640225.0,7490564219.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,2.532.803.640,59.166.660,2.591.970.300,2532803640.0,59166660.0,2591970300.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(32.000.000),(32.000.000),,-32000000.0,-32000000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,9.815.727.634,234.806.885,10.050.534.519,9815727634.0,234806885.0,10050534519.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,70.804.148.035,108.859.775,70.913.007.810,70804148035.0,108859775.0,70913007810.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,68.271.344.395,49.693.115,68.321.037.510,68271344395.0,49693115.0,68321037510.0
