row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty Cổ phần An Thành Bicsol,Công ty con,Bán hàng hóa,331.620.591.386,468.503.253.375,,,331620591386.0,468503253375.0
"An Thanh Bicsol Singapore PTE., Ltd","An Thanh Bicsol Singapore PTE., Ltd","An Thanh Bicsol Singapore PTE., Ltd",Công ty con,Bán hàng hóa,32.573.619.515,19.078.505.325,,,32573619515.0,19078505325.0
Công ty Cổ phần An Tiến Industries,Công ty Cổ phần An Tiến Industries,Công ty Cổ phần An Tiến Industries,Công ty con,Bán hàng hóa,1.125.062.046,18.127.450.306,,,1125062046.0,18127450306.0
Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,Bán hàng hóa,357.000.000,1.510.000.000,,,357000000.0,1510000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Dịch vụ thuê xe và bán hàng hóa,25.238.310.000,6.376.441.042,,,25238310000.0,6376441042.0
,,,,,390.914.582.947,513.595.650.048,,,390914582947.0,513595650048.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty Cổ Phần An Tiến Industries,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Cổ Phần An Tiến Industries,Công ty Cổ Phần An Tiến Industries,Công ty con,Mua hàng hóa,29.766.857.210,-,,,29766857210.0,
"An Thanh Bicsol Singapore PTE., Ltd.","Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > An Thanh Bicsol Singapore PTE., Ltd.","An Thanh Bicsol Singapore PTE., Ltd.",Công ty con,Mua hàng hóa,5.420.411.404,-,,,5420411404.0,
Các bên liên quan khác,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Mua hàng hóa,-,15.499.935.644,,,,15499935644.0
,,,,,35.187.268.614,15.499.935.644,,,35187268614.0,15499935644.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),,,,
Công ty Cổ phần Tập đoàn An Phát Holdings,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty Cổ phần Tập đoàn An Phát Holdings,Công ty mẹ,Cho vay,-,31.050.000.000,,,,31050000000.0
Các bên liên quan khác,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Cho vay,-,22.500.000.000,,,,22500000000.0
,,,,,-,53.550.000.000,,,,53550000000.0
